workload_class,time_step,event_type,object_id,object_class,size_units,tier,created_at,last_seen_at,lifetime,reuse_count,reuse_distance,correctness_sensitive,provenance_id,source_version,invalidation_signal,trajectory_node_id,branch_id,verifier_id,durability_horizon,merge_state,active,placement_decision,retention_decision,compression_strategy,eviction_decision,runtime_architecture_option,evidence_label
code-agent loop,2,object_place,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,2,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,2,object_create,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,2,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,3,object_place,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,3,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,3,object_create,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,3,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,4,object_place,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,4,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,8,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,8,7,1,6.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,8,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,8,5,1,4.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,13,object_create,code-agent_loop:branch_state:1,branch state,73.0,CPU DRAM,13,13,0,0,0.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,13,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,13,12,2,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,14,object_place,code-agent_loop:branch_state:1,branch state,73.0,CPU DRAM,13,14,1,0,0.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,14,object_create,code-agent_loop:trajectory_log:1,trajectory log,38.0,CPU DRAM,14,14,0,0,0.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,15,object_place,code-agent_loop:trajectory_log:1,trajectory log,38.0,CPU DRAM,14,15,1,0,0.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,18,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,18,17,3,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,18,object_access,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,18,16,1,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,18,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,18,15,2,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,20,object_create,code-agent_loop:tool_output:1,tool output,72.0,CPU DRAM,20,20,0,0,0.0,true,prov:tool:1,synthetic_v2,none,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,21,object_place,code-agent_loop:tool_output:1,tool output,72.0,CPU DRAM,20,21,1,0,0.0,true,prov:tool:1,synthetic_v2,none,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,21,tool_call_result,code-agent_loop:tool_output:1,tool output,72.0,CPU DRAM,20,21,1,0,0.0,true,prov:tool:1,tool:v1,none,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,22,object_create,code-agent_loop:branch_state:2,branch state,76.0,CPU DRAM,22,22,0,0,0.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,23,object_place,code-agent_loop:branch_state:2,branch state,76.0,CPU DRAM,22,23,1,0,0.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,23,object_create,code-agent_loop:trajectory_log:2,trajectory log,47.0,CPU DRAM,23,23,0,0,0.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,23,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,23,22,4,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,24,object_place,code-agent_loop:trajectory_log:2,trajectory log,47.0,CPU DRAM,23,24,1,0,0.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,26,object_create,code-agent_loop:verifier_state:1,verifier state,62.0,CPU DRAM,26,26,0,0,0.0,true,prov:code-agent_loop:verifier:1,synthetic_v2,none,code-agent_loop:verify-node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,27,object_place,code-agent_loop:verifier_state:1,verifier state,62.0,CPU DRAM,26,27,1,0,0.0,true,prov:code-agent_loop:verifier:1,synthetic_v2,none,code-agent_loop:verify-node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,28,27,5,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,28,25,3,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:branch_state:1,branch state,73.0,CPU DRAM,13,28,15,1,14.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:trajectory_log:1,trajectory log,38.0,CPU DRAM,14,28,14,1,13.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:branch_state:2,branch state,76.0,CPU DRAM,22,28,6,1,5.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:trajectory_log:2,trajectory log,47.0,CPU DRAM,23,28,5,1,4.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:tool_output:1,tool output,72.0,CPU DRAM,20,28,8,1,7.0,true,prov:tool:1,synthetic_v2,none,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,28,object_access,code-agent_loop:verifier_state:1,verifier state,62.0,CPU DRAM,26,28,2,1,1.0,true,prov:code-agent_loop:verifier:1,synthetic_v2,none,code-agent_loop:verify-node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,30,verifier_result,code-agent_loop:verifier_state:1,verifier state,62.0,CPU DRAM,26,30,4,1,1.0,true,prov:code-agent_loop:verifier:1,verifier:v1,none,code-agent_loop:verify-node:1,code-agent_loop:branch:1,code-agent_loop:verifier:1,0,accepted,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,30,object_create,code-agent_loop:durable_workspace:1,durable workspace,81.0,durable_workspace_store,30,30,0,0,0.0,true,prov:workspace:1,synthetic_v2,none,code-agent_loop:workspace-node:1,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,31,object_place,code-agent_loop:durable_workspace:1,durable workspace,81.0,durable_workspace_store,30,31,1,0,0.0,true,prov:workspace:1,synthetic_v2,none,code-agent_loop:workspace-node:1,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,31,workspace_write,code-agent_loop:durable_workspace:1,durable workspace,81.0,durable_workspace_store,30,31,1,0,0.0,true,prov:workspace:1,workspace:v1,none,code-agent_loop:workspace-node:1,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,33,object_create,code-agent_loop:tool_output:2,tool output,77.0,CPU DRAM,33,33,0,0,0.0,true,prov:tool:2,synthetic_v2,none,code-agent_loop:tool-node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,33,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,33,32,6,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,33,object_access,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,33,31,2,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,34,object_place,code-agent_loop:tool_output:2,tool output,77.0,CPU DRAM,33,34,1,0,0.0,true,prov:tool:2,synthetic_v2,none,code-agent_loop:tool-node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,34,tool_call_result,code-agent_loop:tool_output:2,tool output,77.0,CPU DRAM,33,34,1,0,0.0,true,prov:tool:2,tool:v1,none,code-agent_loop:tool-node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,37,object_create,code-agent_loop:verifier_state:2,verifier state,58.0,CPU DRAM,37,37,0,0,0.0,true,prov:code-agent_loop:verifier:2,synthetic_v2,none,code-agent_loop:verify-node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,38,object_place,code-agent_loop:verifier_state:2,verifier state,58.0,CPU DRAM,37,38,1,0,0.0,true,prov:code-agent_loop:verifier:2,synthetic_v2,none,code-agent_loop:verify-node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,38,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,38,37,7,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,38,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,38,35,4,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,42,verifier_result,code-agent_loop:verifier_state:2,verifier state,58.0,CPU DRAM,37,42,5,0,0.0,true,prov:code-agent_loop:verifier:2,verifier:v1,none,code-agent_loop:verify-node:2,code-agent_loop:branch:2,code-agent_loop:verifier:2,0,rejected,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,42,object_create,code-agent_loop:durable_workspace:2,durable workspace,84.0,durable_workspace_store,42,42,0,0,0.0,true,prov:workspace:2,synthetic_v2,none,code-agent_loop:workspace-node:2,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,43,object_place,code-agent_loop:durable_workspace:2,durable workspace,84.0,durable_workspace_store,42,43,1,0,0.0,true,prov:workspace:2,synthetic_v2,none,code-agent_loop:workspace-node:2,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,43,workspace_write,code-agent_loop:durable_workspace:2,durable workspace,90.0,durable_workspace_store,42,43,1,0,0.0,true,prov:workspace:2,workspace:v2,none,code-agent_loop:workspace-node:2,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,43,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,43,42,8,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,46,object_create,code-agent_loop:tool_output:3,tool output,71.0,CPU DRAM,46,46,0,0,0.0,true,prov:tool:3,synthetic_v2,none,code-agent_loop:tool-node:3,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,47,object_place,code-agent_loop:tool_output:3,tool output,71.0,CPU DRAM,46,47,1,0,0.0,true,prov:tool:3,synthetic_v2,none,code-agent_loop:tool-node:3,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,47,tool_call_result,code-agent_loop:tool_output:3,tool output,71.0,CPU DRAM,46,47,1,0,0.0,true,prov:tool:3,tool:v1,none,code-agent_loop:tool-node:3,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,48,47,9,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,48,46,3,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,48,45,5,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:branch_state:1,branch state,73.0,CPU DRAM,13,48,35,2,20.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:trajectory_log:1,trajectory log,38.0,CPU DRAM,14,48,34,2,20.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:branch_state:2,branch state,76.0,CPU DRAM,22,48,26,2,20.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:trajectory_log:2,trajectory log,47.0,CPU DRAM,23,48,25,2,20.0,true,prov:code-agent_loop:branch:2,synthetic_v2,none,code-agent_loop:node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:tool_output:1,tool output,72.0,CPU DRAM,20,48,28,2,20.0,true,prov:tool:1,synthetic_v2,none,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:tool_output:2,tool output,77.0,CPU DRAM,33,48,15,1,14.0,true,prov:tool:2,synthetic_v2,none,code-agent_loop:tool-node:2,code-agent_loop:branch:2,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:tool_output:3,tool output,71.0,CPU DRAM,46,48,2,1,1.0,true,prov:tool:3,synthetic_v2,none,code-agent_loop:tool-node:3,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:verifier_state:1,verifier state,62.0,CPU DRAM,26,48,22,2,20.0,true,prov:code-agent_loop:verifier:1,synthetic_v2,none,code-agent_loop:verify-node:1,code-agent_loop:branch:1,code-agent_loop:verifier:1,0,accepted,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:verifier_state:2,verifier state,58.0,CPU DRAM,37,48,11,1,10.0,true,prov:code-agent_loop:verifier:2,synthetic_v2,none,code-agent_loop:verify-node:2,code-agent_loop:branch:2,code-agent_loop:verifier:2,0,rejected,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:durable_workspace:1,durable workspace,81.0,durable_workspace_store,30,48,18,1,17.0,true,prov:workspace:1,synthetic_v2,none,code-agent_loop:workspace-node:1,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,48,object_access,code-agent_loop:durable_workspace:2,durable workspace,90.0,durable_workspace_store,42,48,6,1,5.0,true,prov:workspace:2,synthetic_v2,none,code-agent_loop:workspace-node:2,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,53,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,53,52,10,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,54,object_create,code-agent_loop:durable_workspace:3,durable workspace,91.0,durable_workspace_store,54,54,0,0,0.0,true,prov:workspace:3,synthetic_v2,none,code-agent_loop:workspace-node:3,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,55,object_place,code-agent_loop:durable_workspace:3,durable workspace,91.0,durable_workspace_store,54,55,1,0,0.0,true,prov:workspace:3,synthetic_v2,none,code-agent_loop:workspace-node:3,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,55,workspace_write,code-agent_loop:durable_workspace:3,durable workspace,100.0,durable_workspace_store,54,55,1,0,0.0,true,prov:workspace:3,workspace:v3,none,code-agent_loop:workspace-node:3,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,58,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,58,57,11,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,58,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,58,55,6,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,59,workspace_compact,code-agent_loop:durable_workspace:3,durable workspace,100.0,durable_workspace_store,54,59,5,0,0.0,true,prov:workspace:3,workspace:v3,none,code-agent_loop:workspace-node:3,,,170,,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,63,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,63,62,12,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,63,object_access,code-agent_loop:prefix_cache:1,prefix cache,41.0,CPU DRAM,2,63,61,4,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,68,object_access,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,68,67,13,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,68,object_access,code-agent_loop:KV_cache:1,KV cache,21.0,HBM/GPU memory,3,68,65,7,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,68,object_access,code-agent_loop:branch_state:1,branch state,73.0,CPU DRAM,13,68,55,3,20.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,0,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,68,object_access,code-agent_loop:trajectory_log:1,trajectory log,38.0,CPU DRAM,14,68,54,3,20.0,true,prov:code-agent_loop:branch:1,synthetic_v2,none,code-agent_loop:node:1,code-agent_loop:branch:1,,170,,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
