trace_id,run_id,workload_class,time_step,event_type,object_id,object_class,size_units,tier,parent_object_id,trajectory_node_id,branch_id,provenance_id,reuse_distance,reuse_probability_hint,correctness_sensitive,recompute_cost_hint,loss_cost_hint,durability_horizon,verifier_id,merge_state,source_version,invalidation_signal,evidence_label
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:trajectory_log:2,trajectory log,35,NVMe,,,,,4,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:tool_output:1,tool output,70,durable workspace,,,,,7,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,,,,1,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,30,verifier_result,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,code-agent_loop:verify-node:1,code-agent_loop:branch:1,prov:code-agent_loop:verifier:1,,,true,,130,,code-agent_loop:verifier:1,accepted,verifier:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,30,object_create,code-agent_loop:durable_workspace:1,durable workspace,81,NVMe,,code-agent_loop:workspace-node:1,,prov:workspace:1,,0.72,true,26,80,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,31,tool_call_start,,,,,,code-agent_loop:tool-node:2,code-agent_loop:branch:2,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,31,object_place,code-agent_loop:durable_workspace:1,durable workspace,80,NVMe,,code-agent_loop:workspace-node:1,,prov:workspace:1,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,31,workspace_write,code-agent_loop:durable_workspace:1,durable workspace,80,NVMe,,code-agent_loop:workspace-node:1,,prov:workspace:1,,,true,,,170,,,workspace:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,33,object_create,code-agent_loop:tool_output:2,tool output,77,durable workspace,,code-agent_loop:tool-node:2,code-agent_loop:branch:2,prov:tool:2,,0.72,true,23,70,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,33,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,33,object_access,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,34,object_place,code-agent_loop:tool_output:2,tool output,70,durable workspace,,code-agent_loop:tool-node:2,code-agent_loop:branch:2,prov:tool:2,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,34,tool_call_result,code-agent_loop:tool_output:2,tool output,70,durable workspace,,code-agent_loop:tool-node:2,code-agent_loop:branch:2,prov:tool:2,,,true,,,85,,,tool:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,36,verifier_start,,,,,,code-agent_loop:verify-node:2,code-agent_loop:branch:2,,,,,,,,code-agent_loop:verifier:2,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,37,object_create,code-agent_loop:verifier_state:2,verifier state,58,CPU DRAM,,code-agent_loop:verify-node:2,code-agent_loop:branch:2,prov:code-agent_loop:verifier:2,,0.72,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,38,object_place,code-agent_loop:verifier_state:2,verifier state,50,CPU DRAM,,code-agent_loop:verify-node:2,code-agent_loop:branch:2,prov:code-agent_loop:verifier:2,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,38,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,38,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,42,verifier_result,code-agent_loop:verifier_state:2,verifier state,50,CPU DRAM,,code-agent_loop:verify-node:2,code-agent_loop:branch:2,prov:code-agent_loop:verifier:2,,,true,,130,,code-agent_loop:verifier:2,rejected,verifier:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,42,object_create,code-agent_loop:durable_workspace:2,durable workspace,84,NVMe,,code-agent_loop:workspace-node:2,,prov:workspace:2,,0.72,true,26,80,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,43,object_place,code-agent_loop:durable_workspace:2,durable workspace,80,NVMe,,code-agent_loop:workspace-node:2,,prov:workspace:2,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,43,workspace_write,code-agent_loop:durable_workspace:2,durable workspace,90,NVMe,,code-agent_loop:workspace-node:2,,prov:workspace:2,,,true,,,170,,,workspace:v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,43,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,44,tool_call_start,,,,,,code-agent_loop:tool-node:3,code-agent_loop:branch:1,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,46,object_create,code-agent_loop:tool_output:3,tool output,71,durable workspace,,code-agent_loop:tool-node:3,code-agent_loop:branch:1,prov:tool:3,,0.72,true,23,70,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,47,object_place,code-agent_loop:tool_output:3,tool output,70,durable workspace,,code-agent_loop:tool-node:3,code-agent_loop:branch:1,prov:tool:3,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,47,tool_call_result,code-agent_loop:tool_output:3,tool output,70,durable workspace,,code-agent_loop:tool-node:3,code-agent_loop:branch:1,prov:tool:3,,,true,,,85,,,tool:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:branch_state:1,branch state,65,CPU DRAM,,,,,20,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:trajectory_log:1,trajectory log,35,NVMe,,,,,20,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:branch_state:2,branch state,65,CPU DRAM,,,,,20,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:trajectory_log:2,trajectory log,35,NVMe,,,,,20,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:tool_output:1,tool output,70,durable workspace,,,,,20,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:tool_output:2,tool output,70,durable workspace,,,,,14,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:tool_output:3,tool output,70,durable workspace,,,,,1,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,,,,20,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:verifier_state:2,verifier state,50,CPU DRAM,,,,,10,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:durable_workspace:1,durable workspace,80,NVMe,,,,,17,0.75,true,26,80,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,48,object_access,code-agent_loop:durable_workspace:2,durable workspace,80,NVMe,,,,,5,0.75,true,26,80,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,53,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,54,object_create,code-agent_loop:durable_workspace:3,durable workspace,91,NVMe,,code-agent_loop:workspace-node:3,,prov:workspace:3,,0.72,true,26,80,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,55,object_place,code-agent_loop:durable_workspace:3,durable workspace,80,NVMe,,code-agent_loop:workspace-node:3,,prov:workspace:3,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,55,workspace_write,code-agent_loop:durable_workspace:3,durable workspace,100,NVMe,,code-agent_loop:workspace-node:3,,prov:workspace:3,,,true,,,170,,,workspace:v3,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,58,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,58,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,59,workspace_compact,code-agent_loop:durable_workspace:3,durable workspace,65,NVMe,,code-agent_loop:workspace-node:3,,prov:workspace:3,,,true,,,170,,,workspace:v3,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,63,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,63,object_access,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:branch_state:1,branch state,65,CPU DRAM,,,,,20,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:trajectory_log:1,trajectory log,35,NVMe,,,,,20,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:branch_state:2,branch state,65,CPU DRAM,,,,,20,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:trajectory_log:2,trajectory log,35,NVMe,,,,,20,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:tool_output:1,tool output,70,durable workspace,,,,,20,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:tool_output:2,tool output,70,durable workspace,,,,,20,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:tool_output:3,tool output,70,durable workspace,,,,,20,0.75,true,23,70,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,,,,20,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:verifier_state:2,verifier state,50,CPU DRAM,,,,,20,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:durable_workspace:1,durable workspace,80,NVMe,,,,,20,0.75,true,26,80,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:durable_workspace:2,durable workspace,80,NVMe,,,,,20,0.75,true,26,80,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,68,object_access,code-agent_loop:durable_workspace:3,durable workspace,80,NVMe,,,,,13,0.75,true,26,80,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,69,branch_merge,,,,,,code-agent_loop:merge-node:1,code-agent_loop:branch:1,,,,,,,,,merged,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,72,branch_discard,,,,,,code-agent_loop:merge-node:2,code-agent_loop:branch:2,,,,,,,,,discarded,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,73,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,77,object_migrate,code-agent_loop:branch_state:1,branch state,65,NVMe,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,77,object_migrate,code-agent_loop:trajectory_log:1,trajectory log,35,NVMe,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,77,object_migrate,code-agent_loop:branch_state:2,branch state,65,NVMe,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,78,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,78,object_access,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,78,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:branch_state:1,branch state,65,CPU DRAM,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:branch_state:2,branch state,65,CPU DRAM,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,83,object_evict,code-agent_loop:verifier_state:2,verifier state,50,CPU DRAM,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,85,run_end,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,1,object_create,verification-heavy:weights:1,weights,909,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,2,object_place,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,3,object_create,verification-heavy:KV_cache:1,KV cache,26,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,4,object_place,verification-heavy:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,8,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,8,object_access,verification-heavy:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,4,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,12,branch_fork,,,,,,verification-heavy:node:1,verification-heavy:branch:1,,,,,,,,,forked,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,13,object_create,verification-heavy:branch_state:1,branch state,70,CPU DRAM,verification-heavy:KV_cache:1,verification-heavy:node:1,verification-heavy:branch:1,prov:verification-heavy:branch:1,,0.72,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,13,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,14,object_place,verification-heavy:branch_state:1,branch state,65,CPU DRAM,,verification-heavy:node:1,verification-heavy:branch:1,prov:verification-heavy:branch:1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,14,object_create,verification-heavy:trajectory_log:1,trajectory log,45,NVMe,verification-heavy:KV_cache:1,verification-heavy:node:1,verification-heavy:branch:1,prov:verification-heavy:branch:1,,0.72,true,11,35,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,15,object_place,verification-heavy:trajectory_log:1,trajectory log,35,NVMe,,verification-heavy:node:1,verification-heavy:branch:1,prov:verification-heavy:branch:1,,,true,,,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,18,tool_call_start,,,,,,verification-heavy:tool-node:1,verification-heavy:branch:1,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,18,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,18,object_access,verification-heavy:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,20,object_create,verification-heavy:tool_output:1,tool output,77,durable workspace,,verification-heavy:tool-node:1,verification-heavy:branch:1,prov:tool:1,,0.72,true,23,70,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,21,branch_fork,,,,,,verification-heavy:node:2,verification-heavy:branch:2,,,,,,,,,forked,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,21,object_place,verification-heavy:tool_output:1,tool output,70,durable workspace,,verification-heavy:tool-node:1,verification-heavy:branch:1,prov:tool:1,,,true,,,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,21,tool_call_result,verification-heavy:tool_output:1,tool output,70,durable workspace,,verification-heavy:tool-node:1,verification-heavy:branch:1,prov:tool:1,,,true,,,80,,,tool:v1,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,22,object_create,verification-heavy:branch_state:2,branch state,71,CPU DRAM,verification-heavy:KV_cache:1,verification-heavy:node:2,verification-heavy:branch:2,prov:verification-heavy:branch:2,,0.72,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,23,object_place,verification-heavy:branch_state:2,branch state,65,CPU DRAM,,verification-heavy:node:2,verification-heavy:branch:2,prov:verification-heavy:branch:2,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,23,object_create,verification-heavy:trajectory_log:2,trajectory log,36,NVMe,verification-heavy:KV_cache:1,verification-heavy:node:2,verification-heavy:branch:2,prov:verification-heavy:branch:2,,0.72,true,11,35,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,23,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,24,object_place,verification-heavy:trajectory_log:2,trajectory log,35,NVMe,,verification-heavy:node:2,verification-heavy:branch:2,prov:verification-heavy:branch:2,,,true,,,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,25,verifier_start,,,,,,verification-heavy:verify-node:1,verification-heavy:branch:1,,,,,,,,verification-heavy:verifier:1,,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,26,object_create,verification-heavy:verifier_state:1,verifier state,51,CPU DRAM,,verification-heavy:verify-node:1,verification-heavy:branch:1,prov:verification-heavy:verifier:1,,0.72,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,27,object_place,verification-heavy:verifier_state:1,verifier state,50,CPU DRAM,,verification-heavy:verify-node:1,verification-heavy:branch:1,prov:verification-heavy:verifier:1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:branch_state:1,branch state,65,CPU DRAM,,,,,14,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:trajectory_log:1,trajectory log,35,NVMe,,,,,13,0.75,true,11,35,80,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:branch_state:2,branch state,65,CPU DRAM,,,,,5,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:trajectory_log:2,trajectory log,35,NVMe,,,,,4,0.75,true,11,35,80,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:tool_output:1,tool output,70,durable workspace,,,,,7,0.75,true,23,70,80,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,28,object_access,verification-heavy:verifier_state:1,verifier state,50,CPU DRAM,,,,,1,0.75,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,30,branch_fork,,,,,,verification-heavy:node:3,verification-heavy:branch:3,,,,,,,,,forked,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,30,verifier_result,verification-heavy:verifier_state:1,verifier state,50,CPU DRAM,,verification-heavy:verify-node:1,verification-heavy:branch:1,prov:verification-heavy:verifier:1,,,true,,130,,verification-heavy:verifier:1,accepted,verifier:v1,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,30,object_create,verification-heavy:tool_output:3,tool output,79,durable workspace,,verification-heavy:workspace-node:1,,prov:workspace:1,,0.72,true,23,70,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,31,object_create,verification-heavy:branch_state:3,branch state,71,CPU DRAM,verification-heavy:KV_cache:1,verification-heavy:node:3,verification-heavy:branch:3,prov:verification-heavy:branch:3,,0.72,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,31,tool_call_start,,,,,,verification-heavy:tool-node:2,verification-heavy:branch:2,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,31,object_place,verification-heavy:tool_output:3,tool output,70,durable workspace,,verification-heavy:workspace-node:1,,prov:workspace:1,,,true,,,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,31,workspace_write,verification-heavy:tool_output:3,tool output,70,durable workspace,,verification-heavy:workspace-node:1,,prov:workspace:1,,,true,,,160,,,workspace:v1,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,32,object_place,verification-heavy:branch_state:3,branch state,65,CPU DRAM,,verification-heavy:node:3,verification-heavy:branch:3,prov:verification-heavy:branch:3,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,32,object_create,verification-heavy:trajectory_log:3,trajectory log,41,NVMe,verification-heavy:KV_cache:1,verification-heavy:node:3,verification-heavy:branch:3,prov:verification-heavy:branch:3,,0.72,true,11,35,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,33,object_place,verification-heavy:trajectory_log:3,trajectory log,35,NVMe,,verification-heavy:node:3,verification-heavy:branch:3,prov:verification-heavy:branch:3,,,true,,,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,33,object_create,verification-heavy:tool_output:2,tool output,76,durable workspace,,verification-heavy:tool-node:2,verification-heavy:branch:2,prov:tool:2,,0.72,true,23,70,160,,,synthetic_v2,none,synthetic
trace-v2-verification-heavy,verification-heavy,verification-heavy,33,object_access,verification-heavy:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
