L,canonical_key,conjugacy_class_multiplicity,pre_fold_pair_multiplicity,weight_unweighted,weight_exp_decay_theta_0_5,weight_length_inverse,V,count_a,count_b,C,n_power,conflict,primitive_power_pair_classes,diagonal_cyclic_pair_classes,primitive_nondiagonal_pair_classes,rank_two_after_diagonal_pair_classes,rank_proxy,coeff_order_1,coeff_order_2,coeff_order_3,coeff_order_4,notes
5,0a1;0b2;1a0;3a2;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b2;1a0;3b1;4a2;4b3,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2a3;2b0,4,80,80,2.41579067379,8,4,3,2,5,1,yes,4,0,0,4,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2b0;3a2,4,80,80,2.41579067379,8,4,3,2,5,1,yes,4,0,0,4,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2b0;3b2,2,8,8,0.656679988991,1.33333333333,4,2,3,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2b0;3b2,8,160,160,3.88104178488,13.3333333333,4,2,3,5,1,yes,8,0,0,8,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2b0;3b4;4b2,2,8,8,0.398296546943,1,5,2,4,6,1,no,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;0b3;1a0;2b0;3b5;4b2;5b4,2,8,8,0.241579067379,0.8,6,2,5,7,1,no,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0,3,12,12,0.939637679889,2,2,2,0,2,0,yes,3,3,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b0,6,112,112,6.9449230951,16,2,2,1,3,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b2;2b0,6,184,184,5.37581197051,16,3,2,2,4,1,yes,4,0,2,6,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b3;2a3;2b0,2,16,16,0.796593093886,2,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b3;2b0;3b2,2,32,32,1.59318618777,4,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b3;2b0;3b4;4b2,2,40,40,1.20789533689,4,5,2,4,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;1b3;2b0;4a3;4b2,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2a2;2b0,4,80,80,2.41579067379,8,3,3,1,4,1,yes,4,0,0,4,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2a3;2b0;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2a4;2b0;3b1;4b3,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2b0;3a2;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2b0;3a4;3b1;4b2,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2b0;3b1;4a2;4b3,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a1;1a0;2b0;3b1;4a3;4b2,2,40,40,1.20789533689,4,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;1b2,6,136,136,4.19356243576,16,3,2,2,4,1,yes,4,0,2,6,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2a1,2,8,8,1.08268226589,2.66666666667,3,3,1,4,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2a1,16,528,528,14.7239168126,53.3333333333,3,3,1,4,1,yes,4,0,12,16,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2a3;3a1,2,8,8,0.656679988991,2,4,4,1,5,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2a3;3a1,8,160,160,4.87168519249,20,4,4,1,5,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2a4;3a1;4a3,2,8,8,0.398296546943,1.6,5,5,1,6,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2b1,12,368,368,10.5892045726,40,3,2,2,4,1,yes,4,0,8,12,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2b3;3a1,4,80,80,3.98296546943,16,4,3,2,5,1,yes,0,0,4,4,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;2b3;3b1,2,40,40,1.99148273471,8,4,2,3,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b0;1a0;3a1;3b2,4,80,80,3.98296546943,16,4,3,2,5,1,yes,0,0,4,4,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b1;1a0;1b2,2,80,80,2.41579067379,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b1;1a0;2a1,6,136,136,4.46177620732,13.3333333333,3,3,1,4,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b1;1a0;2a3;3a1,2,16,16,0.796593093886,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b1;1a0;2a4;3a1;4a3,2,16,16,0.483158134757,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b1;1a0;2b0,2,64,64,3.18637237554,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b2;1a0;2a1,4,144,144,3.39276630748,10.6666666667,3,3,1,4,1,yes,2,0,2,4,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b2;1a0;2a3;3a1,2,32,32,0.586100444439,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b2;1a0;2a4;3a1;4a3,2,40,40,0.269517879963,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b2;1a0;2b1,2,120,120,2.19787666665,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;2b4;3a4,2,40,40,0.732625555549,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;2b4;4a3,2,40,40,0.732625555549,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3a4;4b1,2,16,16,0.483158134757,1.33333333333,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3a4;4b2,2,40,40,0.732625555549,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b2,2,32,32,0.966316269514,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b4;4b1,2,32,32,0.966316269514,2.66666666667,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b4;4b2,2,40,40,0.732625555549,2.66666666667,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b5;4a5;4b1,2,40,40,0.732625555549,2.66666666667,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b5;4b1;5a4,2,40,40,0.732625555549,2.66666666667,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;3b5;4b1;5b4,2,40,40,0.732625555549,2.66666666667,6,3,4,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;4a3;4b1,2,32,32,0.966316269514,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;4a3;4b2,2,40,40,0.732625555549,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a1;4b1;5a3;5b4,2,40,40,0.732625555549,2.66666666667,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a3;3a1,2,24,24,0.724737202136,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a3;3a4;4a1,2,32,32,0.355487889224,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3a1;4a3,2,24,24,0.43957533333,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3a5;4a1;4b5,2,40,40,0.44435986153,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3a5;4a1;5b1,2,16,16,0.29305022222,1,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3a5;4a1;5b4,2,40,40,0.44435986153,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b1;4a1,2,24,24,0.724737202136,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b2;4a1,2,40,40,0.44435986153,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b4;4a1,2,32,32,0.586100444439,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b5;4a1;5b1,2,32,32,0.586100444439,2,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b5;4a1;5b4,2,40,40,0.44435986153,2,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b6;4a1;5a6;5b1,2,40,40,0.44435986153,2,7,5,3,8,1,yes,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b6;4a1;5b1;6a5,2,40,40,0.44435986153,2,7,5,3,8,1,yes,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;3b6;4a1;5b1;6b5,2,40,40,0.44435986153,2,7,4,4,8,1,yes,2,0,0,2,rank_two_noncyclic,-9,9,39,81,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;4a1;4b5;5a3,2,40,40,0.44435986153,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;4a1;5a3;5b1,2,32,32,0.586100444439,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;4a1;5a3;5b4,2,40,40,0.44435986153,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a4;4a1;5b1;6a3;6b5,2,40,40,0.44435986153,2,7,5,3,8,1,yes,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3a6;4a1;4b6;5a4,2,40,40,0.269517879963,1.6,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3a6;4a1;5a4;6b4,2,40,40,0.269517879963,1.6,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3b1;4a1;5a4,2,24,24,0.43957533333,1.6,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3b4;4a1;5a4,2,32,32,0.355487889224,1.6,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3b5;4a1;5a4,2,40,40,0.269517879963,1.6,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;3b6;4a1;5a4;6b4,2,40,40,0.269517879963,1.6,7,5,3,8,1,yes,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;4a1;4b6;5a4;6a3,2,40,40,0.269517879963,1.6,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a5;4a1;5a4;6a3;6b4,2,40,40,0.269517879963,1.6,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;3a5;4a1;5b1;6a4,2,16,16,0.177743944612,0.8,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;3b5;4a1;5b1;6a4,2,32,32,0.355487889224,1.6,7,5,3,8,1,yes,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;3b7;4a1;5a7;5b1;6a4,2,40,40,0.269517879963,1.6,8,6,3,9,1,yes,2,0,0,2,rank_two_noncyclic,-10,10,50,130,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;3b7;4a1;5b1;6a4;7a5,2,40,40,0.269517879963,1.6,8,6,3,9,1,yes,2,0,0,2,rank_two_noncyclic,-10,10,50,130,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;3b7;4a1;5b1;6a4;7b5,2,40,40,0.269517879963,1.6,8,5,4,9,1,yes,2,0,0,2,rank_two_noncyclic,-12,24,72,96,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;4a1;5a3;5b1;6a4,2,32,32,0.355487889224,1.6,7,6,2,8,1,yes,2,0,0,2,rank_two_noncyclic,-5,-5,-5,-5,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2a6;4a1;5b1;6a4;7a3;7b5,2,40,40,0.269517879963,1.6,8,6,3,9,1,yes,2,0,0,2,rank_two_noncyclic,-10,10,50,130,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2b0;3a1,2,120,120,2.19787666665,8,4,3,2,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;0b3;1a0;2b0;3b1,2,120,120,2.19787666665,8,4,2,3,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;1b0;2a1,6,136,136,4.46177620732,13.3333333333,3,3,1,4,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;1b0;2a3;3a1,2,16,16,0.796593093886,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;1b0;2a4;3a1;4a3,2,16,16,0.483158134757,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a1,1,4,4,0.199148273471,0.444444444444,3,3,0,3,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a1;2b0,4,144,144,3.39276630748,10.6666666667,3,3,1,4,1,yes,2,0,2,4,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a3;2b0;3a1,2,32,32,0.586100444439,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a3;3a1,1,4,4,0.0732625555549,0.25,4,4,0,4,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a4;2b0;3a1;4a3,2,40,40,0.269517879963,1.6,5,5,1,6,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a2;1a0;2a4;3a1;4a3,1,4,4,0.0269517879963,0.16,5,5,0,5,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b1;1a0;2b0;3b2,2,80,80,2.41579067379,8,4,2,3,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;1b3;2b0,2,40,40,1.20789533689,4,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;2b0;3a1,2,8,8,0.656679988991,1.33333333333,4,3,2,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;2b0;3a1,8,160,160,3.88104178488,13.3333333333,4,3,2,5,1,yes,8,0,0,8,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;2b0;3a4;4a1,2,8,8,0.398296546943,1,5,4,2,6,1,no,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;2b0;3a5;4a1;5a4,2,8,8,0.241579067379,0.8,6,5,2,7,1,no,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b2;1a0;2b0;3b1,4,80,80,2.41579067379,8,4,2,3,5,1,yes,4,0,0,4,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b3;1a0;2a1;2b0,2,120,120,2.19787666665,8,4,3,2,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a1;4b2,2,8,8,0.398296546943,0.888888888889,5,3,3,6,1,no,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a1;4b5;5b2,2,8,8,0.241579067379,0.666666666667,6,3,4,7,1,no,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a1;4b6;5b2;6b5,2,8,8,0.14652511111,0.533333333333,7,3,5,8,1,no,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a5;4b2;5a1,2,8,8,0.241579067379,0.666666666667,6,4,3,7,1,no,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a5;4b6;5a1;6b2,2,8,8,0.14652511111,0.5,7,4,4,8,1,no,2,0,0,2,rank_two_noncyclic,-9,9,39,81,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a5;4b7;5a1;6b2;7b6,2,8,8,0.0888719723059,0.4,8,4,5,9,1,no,2,0,0,2,rank_two_noncyclic,-12,24,72,96,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a6;4b2;5a1;6a5,2,8,8,0.14652511111,0.533333333333,7,5,3,8,1,no,2,0,0,2,rank_two_noncyclic,-8,4,28,76,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a7;4b6;5a1;6b2;7a5,2,8,8,0.0888719723059,0.4,8,5,4,9,1,no,2,0,0,2,rank_two_noncyclic,-12,24,72,96,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;0b4;1a0;2b0;3a7;4b8;5a1;6b2;7a5;8b6,2,8,8,0.0539035759927,0.32,9,5,5,10,1,no,2,0,0,2,rank_two_noncyclic,-16,56,104,-64,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b2;2b0;3a1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b2;2b0;3a4;4a1,2,24,24,0.724737202136,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b2;2b0;3a5;4a1;5a4,2,24,24,0.43957533333,1.6,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b4;2a4;2b0;3a1,2,16,16,0.483158134757,1.33333333333,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b4;2b0;3a1;4b2,2,32,32,0.966316269514,2.66666666667,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
5,0a3;1a0;1b4;2b0;3a1;4b5;5b2,2,40,40,0.732625555549,2.66666666667,6,3,4,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
