L,canonical_key,multiplicity,V,count_a,count_b,conflict,rank_proxy,cyclic_proxy,profile_expression,notes
4,0a2;0b0;1a0;2a1,72,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;2a3;3a1,8,4,4,1,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;2a3;3b1,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;2b1,72,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;2b3;3a1,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;2b3;3b1,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b0;1a0;3a1;3b2,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;1b2,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;1b3;2a3,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;1b3;3b2,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2a1,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2a3;2b3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2a3;3a1,24,4,4,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2a3;3b2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2b0,72,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2b3;3a1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;2b3;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a0;3a1;3b2,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a3;1b0;2b3,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1a3;1b0;3b2,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2a1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2a3;2b3,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2a3;3a1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2a3;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2b2,8,3,1,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2b3;3a1,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;2b3;3b2,8,4,1,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b1;1b0;3a1;3b2,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;1b0,72,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;1b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;1b3;2a3,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;1b3;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;1b3;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2a1,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2a3;3a1,24,4,4,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2a3;3b1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2b1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2b3;3a1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;2b3;3b1,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a0;3a1;3b1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a1;1b0,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a3;1b0;2b3,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a3;1b0;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1a3;1b0;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2a1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2a3;3a1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2a3;3b1,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2b1,24,3,1,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2b3;3a1,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;2b3;3b1,24,4,1,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b2;1b0;3a1;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;2a3,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;2a4;3b4,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;2a4;4a3,8,5,4,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;2b4;3a4,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;2b4;4a3,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;3a4;4b2,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;3b2,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;3b4;4b2,8,5,2,4,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2)*(n-3),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b0;4a3;4b2,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;2a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;2a4;3b4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;2a4;4a3,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;2b4;3a4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;2b4;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;3a4;4b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;3b4;4b2,8,5,2,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b1;4a3;4b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;2a3,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;2a4;3b4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;2a4;4a3,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;2b4;3a4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;2b4;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a1,24,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a4;3b4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a4;4a1,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a4;4a3,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3a4;4b1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3b1,24,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3b4;4a1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3b4;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;3b4;4b1,8,5,2,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b2;4a3;4b1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a1;3a4,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a1;4a3,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a3;3a4,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a3;4a1,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a3;4b1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a3;4b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;2b5;3a5,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;2b5;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3a1,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3a3,8,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3a5;3b5,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3a5;5a3,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3a5;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3b1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3b5;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;3b5;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;4a3,24,5,4,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a4;5a3;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;2b5;3a4,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;2b5;4a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3a4;3b5,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3a4;5a3,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3a4;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3b5;4a1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3b5;4a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3b5;4b1,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;3b5;4b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;4a1;5a3,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;4a3;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;4b1;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2a5;4b2;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b0;3a4,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b0;4a3,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b1;3a4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b1;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b2;3a4,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b2;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a4;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a4;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a5;4a1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a5;4a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a5;4b1,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;3a5;4b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;4a1;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;4a3;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;4b1;5a3,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;2b5;4b2;5a3,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a1;4b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a3;4b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a4;3b2,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a4;3b5;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a4;4b2,24,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a4;5a3;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a5;3b5;4b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a5;4a1;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a5;4a3;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a5;4b1;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3a5;4b2;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b1;4b2,8,5,2,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b2;4a1,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b2;4a3,8,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b2;4b1,8,5,2,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b5;4a1;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b5;4a3;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b5;4b1;5b2,8,6,2,5,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;3b5;4b2;5a3,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;4a1;5a3;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;4a3;4b2,24,5,3,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b4;4b1;5a3;5b2,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a4;3a5;4a1,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a4;3a5;4b1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a4;4a1;5a3,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a4;4b1;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a5;3a4;4a1,8,6,5,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a5;3a4;4b1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a5;3b4;4a1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a5;3b4;4b1,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2a5;4a3;4b1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2b4;3a5;4a1,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2b4;3a5;4b1,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2b4;4a1;5a3,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;2b4;4b1;5a3,8,6,3,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
4,0a2;0b3;1a0;1b5;3a4;4a1;5b2,8,6,4,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
