alpha,weight,partition,length,allowed_residues,multiplicity_vector,runner_counts,allowed_count_difference,quotient_sum,max_part
0,22,6 4 4 1 1 1 1 1 1 1 1,11,1 4,1:0:8;1:1:1;4:0:2,0 9 0 0 2,7,1,6
0,22,6 4 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:12;1:1:1;4:0:1,0 13 0 0 1,12,1,6
0,22,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:16;1:1:1,0 17 0 0 0,17,1,6
0,22,4 4 4 4 4 1 1,7,1 4,1:0:2;4:0:5,0 2 0 0 5,-3,0,4
0,22,4 4 4 4 1 1 1 1 1 1,10,1 4,1:0:6;4:0:4,0 6 0 0 4,2,0,4
0,22,4 4 4 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:10;4:0:3,0 10 0 0 3,7,0,4
0,22,4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:14;4:0:2,0 14 0 0 2,12,0,4
0,22,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,19,1 4,1:0:18;4:0:1,0 18 0 0 1,17,0,4
0,22,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,22,1 4,1:0:22,0 22 0 0 0,22,0,1
0,23,21 1 1,3,1 4,1:0:2;1:4:1,0 3 0 0 0,3,4,21
0,23,19 4,2,1 4,4:0:1;4:3:1,0 0 0 0 2,-2,3,19
0,23,19 1 1 1 1,5,1 4,1:0:4;4:3:1,0 4 0 0 1,3,3,19
0,23,16 6 1,3,1 4,1:0:1;1:1:1;1:3:1,0 3 0 0 0,3,4,16
0,23,16 4 1 1 1,5,1 4,1:0:3;1:3:1;4:0:1,0 4 0 0 1,3,3,16
0,23,16 1 1 1 1 1 1 1,8,1 4,1:0:7;1:3:1,0 8 0 0 0,8,3,16
0,23,14 9,2,1 4,4:1:1;4:2:1,0 0 0 0 2,-2,3,14
0,23,14 6 1 1 1,5,1 4,1:0:3;1:1:1;4:2:1,0 4 0 0 1,3,3,14
0,23,14 4 4 1,4,1 4,1:0:1;4:0:2;4:2:1,0 1 0 0 3,-2,2,14
0,23,14 4 1 1 1 1 1,7,1 4,1:0:5;4:0:1;4:2:1,0 5 0 0 2,3,2,14
0,23,14 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;4:2:1,0 9 0 0 1,8,2,14
0,23,11 11 1,3,1 4,1:0:1;1:2:2,0 3 0 0 0,3,4,11
0,23,11 9 1 1 1,5,1 4,1:0:3;1:2:1;4:1:1,0 4 0 0 1,3,3,11
0,23,11 6 6,3,1 4,1:1:2;1:2:1,0 3 0 0 0,3,4,11
0,23,11 6 4 1 1,5,1 4,1:0:2;1:1:1;1:2:1;4:0:1,0 4 0 0 1,3,3,11
0,23,11 6 1 1 1 1 1 1,8,1 4,1:0:6;1:1:1;1:2:1,0 8 0 0 0,8,3,11
0,23,11 4 4 4,4,1 4,1:2:1;4:0:3,0 1 0 0 3,-2,2,11
0,23,11 4 4 1 1 1 1,7,1 4,1:0:4;1:2:1;4:0:2,0 5 0 0 2,3,2,11
0,23,11 4 1 1 1 1 1 1 1 1,10,1 4,1:0:8;1:2:1;4:0:1,0 9 0 0 1,8,2,11
0,23,11 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:12;1:2:1,0 13 0 0 0,13,2,11
0,23,9 9 4 1,4,1 4,1:0:1;4:0:1;4:1:2,0 1 0 0 3,-2,2,9
0,23,9 9 1 1 1 1 1,7,1 4,1:0:5;4:1:2,0 5 0 0 2,3,2,9
0,23,9 6 6 1 1,5,1 4,1:0:2;1:1:2;4:1:1,0 4 0 0 1,3,3,9
0,23,9 6 4 4,4,1 4,1:1:1;4:0:2;4:1:1,0 1 0 0 3,-2,2,9
0,23,9 6 4 1 1 1 1,7,1 4,1:0:4;1:1:1;4:0:1;4:1:1,0 5 0 0 2,3,2,9
0,23,9 6 1 1 1 1 1 1 1 1,10,1 4,1:0:8;1:1:1;4:1:1,0 9 0 0 1,8,2,9
0,23,9 4 4 4 1 1,6,1 4,1:0:2;4:0:3;4:1:1,0 2 0 0 4,-2,1,9
0,23,9 4 4 1 1 1 1 1 1,9,1 4,1:0:6;4:0:2;4:1:1,0 6 0 0 3,3,1,9
0,23,9 4 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;4:0:1;4:1:1,0 10 0 0 2,8,1,9
0,23,9 1 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:14;4:1:1,0 14 0 0 1,13,1,9
0,23,6 6 6 4 1,5,1 4,1:0:1;1:1:3;4:0:1,0 4 0 0 1,3,3,6
0,23,6 6 6 1 1 1 1 1,8,1 4,1:0:5;1:1:3,0 8 0 0 0,8,3,6
0,23,6 6 4 4 1 1 1,7,1 4,1:0:3;1:1:2;4:0:2,0 5 0 0 2,3,2,6
0,23,6 6 4 1 1 1 1 1 1 1,10,1 4,1:0:7;1:1:2;4:0:1,0 9 0 0 1,8,2,6
0,23,6 6 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;1:1:2,0 13 0 0 0,13,2,6
0,23,6 4 4 4 4 1,6,1 4,1:0:1;1:1:1;4:0:4,0 2 0 0 4,-2,1,6
0,23,6 4 4 4 1 1 1 1 1,9,1 4,1:0:5;1:1:1;4:0:3,0 6 0 0 3,3,1,6
0,23,6 4 4 1 1 1 1 1 1 1 1 1,12,1 4,1:0:9;1:1:1;4:0:2,0 10 0 0 2,8,1,6
0,23,6 4 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:13;1:1:1;4:0:1,0 14 0 0 1,13,1,6
0,23,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:17;1:1:1,0 18 0 0 0,18,1,6
0,23,4 4 4 4 4 1 1 1,8,1 4,1:0:3;4:0:5,0 3 0 0 5,-2,0,4
0,23,4 4 4 4 1 1 1 1 1 1 1,11,1 4,1:0:7;4:0:4,0 7 0 0 4,3,0,4
0,23,4 4 4 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:11;4:0:3,0 11 0 0 3,8,0,4
0,23,4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:15;4:0:2,0 15 0 0 2,13,0,4
0,23,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,20,1 4,1:0:19;4:0:1,0 19 0 0 1,18,0,4
0,23,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,23,1 4,1:0:23,0 23 0 0 0,23,0,1
0,24,24,1,1 4,4:4:1,0 0 0 0 1,-1,4,24
0,24,21 1 1 1,4,1 4,1:0:3;1:4:1,0 4 0 0 0,4,4,21
0,24,19 4 1,3,1 4,1:0:1;4:0:1;4:3:1,0 1 0 0 2,-1,3,19
0,24,19 1 1 1 1 1,6,1 4,1:0:5;4:3:1,0 5 0 0 1,4,3,19
0,24,16 6 1 1,4,1 4,1:0:2;1:1:1;1:3:1,0 4 0 0 0,4,4,16
0,24,16 4 4,3,1 4,1:3:1;4:0:2,0 1 0 0 2,-1,3,16
0,24,16 4 1 1 1 1,6,1 4,1:0:4;1:3:1;4:0:1,0 5 0 0 1,4,3,16
0,24,16 1 1 1 1 1 1 1 1,9,1 4,1:0:8;1:3:1,0 9 0 0 0,9,3,16
0,24,14 9 1,3,1 4,1:0:1;4:1:1;4:2:1,0 1 0 0 2,-1,3,14
0,24,14 6 4,3,1 4,1:1:1;4:0:1;4:2:1,0 1 0 0 2,-1,3,14
0,24,14 6 1 1 1 1,6,1 4,1:0:4;1:1:1;4:2:1,0 5 0 0 1,4,3,14
0,24,14 4 4 1 1,5,1 4,1:0:2;4:0:2;4:2:1,0 2 0 0 3,-1,2,14
0,24,14 4 1 1 1 1 1 1,8,1 4,1:0:6;4:0:1;4:2:1,0 6 0 0 2,4,2,14
0,24,14 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;4:2:1,0 10 0 0 1,9,2,14
0,24,11 11 1 1,4,1 4,1:0:2;1:2:2,0 4 0 0 0,4,4,11
0,24,11 9 4,3,1 4,1:2:1;4:0:1;4:1:1,0 1 0 0 2,-1,3,11
0,24,11 9 1 1 1 1,6,1 4,1:0:4;1:2:1;4:1:1,0 5 0 0 1,4,3,11
0,24,11 6 6 1,4,1 4,1:0:1;1:1:2;1:2:1,0 4 0 0 0,4,4,11
0,24,11 6 4 1 1 1,6,1 4,1:0:3;1:1:1;1:2:1;4:0:1,0 5 0 0 1,4,3,11
0,24,11 6 1 1 1 1 1 1 1,9,1 4,1:0:7;1:1:1;1:2:1,0 9 0 0 0,9,3,11
0,24,11 4 4 4 1,5,1 4,1:0:1;1:2:1;4:0:3,0 2 0 0 3,-1,2,11
0,24,11 4 4 1 1 1 1 1,8,1 4,1:0:5;1:2:1;4:0:2,0 6 0 0 2,4,2,11
0,24,11 4 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;1:2:1;4:0:1,0 10 0 0 1,9,2,11
0,24,11 1 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:13;1:2:1,0 14 0 0 0,14,2,11
0,24,9 9 6,3,1 4,1:1:1;4:1:2,0 1 0 0 2,-1,3,9
0,24,9 9 4 1 1,5,1 4,1:0:2;4:0:1;4:1:2,0 2 0 0 3,-1,2,9
0,24,9 9 1 1 1 1 1 1,8,1 4,1:0:6;4:1:2,0 6 0 0 2,4,2,9
0,24,9 6 6 1 1 1,6,1 4,1:0:3;1:1:2;4:1:1,0 5 0 0 1,4,3,9
0,24,9 6 4 4 1,5,1 4,1:0:1;1:1:1;4:0:2;4:1:1,0 2 0 0 3,-1,2,9
0,24,9 6 4 1 1 1 1 1,8,1 4,1:0:5;1:1:1;4:0:1;4:1:1,0 6 0 0 2,4,2,9
0,24,9 6 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;1:1:1;4:1:1,0 10 0 0 1,9,2,9
0,24,9 4 4 4 1 1 1,7,1 4,1:0:3;4:0:3;4:1:1,0 3 0 0 4,-1,1,9
0,24,9 4 4 1 1 1 1 1 1 1,10,1 4,1:0:7;4:0:2;4:1:1,0 7 0 0 3,4,1,9
0,24,9 4 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;4:0:1;4:1:1,0 11 0 0 2,9,1,9
0,24,9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:15;4:1:1,0 15 0 0 1,14,1,9
0,24,6 6 6 6,4,1 4,1:1:4,0 4 0 0 0,4,4,6
0,24,6 6 6 4 1 1,6,1 4,1:0:2;1:1:3;4:0:1,0 5 0 0 1,4,3,6
0,24,6 6 6 1 1 1 1 1 1,9,1 4,1:0:6;1:1:3,0 9 0 0 0,9,3,6
0,24,6 6 4 4 4,5,1 4,1:1:2;4:0:3,0 2 0 0 3,-1,2,6
0,24,6 6 4 4 1 1 1 1,8,1 4,1:0:4;1:1:2;4:0:2,0 6 0 0 2,4,2,6
0,24,6 6 4 1 1 1 1 1 1 1 1,11,1 4,1:0:8;1:1:2;4:0:1,0 10 0 0 1,9,2,6
0,24,6 6 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:12;1:1:2,0 14 0 0 0,14,2,6
0,24,6 4 4 4 4 1 1,7,1 4,1:0:2;1:1:1;4:0:4,0 3 0 0 4,-1,1,6
0,24,6 4 4 4 1 1 1 1 1 1,10,1 4,1:0:6;1:1:1;4:0:3,0 7 0 0 3,4,1,6
0,24,6 4 4 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:10;1:1:1;4:0:2,0 11 0 0 2,9,1,6
0,24,6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:14;1:1:1;4:0:1,0 15 0 0 1,14,1,6
0,24,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,19,1 4,1:0:18;1:1:1,0 19 0 0 0,19,1,6
0,24,4 4 4 4 4 4,6,1 4,4:0:6,0 0 0 0 6,-6,0,4
0,24,4 4 4 4 4 1 1 1 1,9,1 4,1:0:4;4:0:5,0 4 0 0 5,-1,0,4
0,24,4 4 4 4 1 1 1 1 1 1 1 1,12,1 4,1:0:8;4:0:4,0 8 0 0 4,4,0,4
0,24,4 4 4 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:12;4:0:3,0 12 0 0 3,9,0,4
0,24,4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:16;4:0:2,0 16 0 0 2,14,0,4
0,24,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,21,1 4,1:0:20;4:0:1,0 20 0 0 1,19,0,4
0,24,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,24,1 4,1:0:24,0 24 0 0 0,24,0,1
0,25,24 1,2,1 4,1:0:1;4:4:1,0 1 0 0 1,0,4,24
0,25,21 4,2,1 4,1:4:1;4:0:1,0 1 0 0 1,0,4,21
0,25,21 1 1 1 1,5,1 4,1:0:4;1:4:1,0 5 0 0 0,5,4,21
0,25,19 6,2,1 4,1:1:1;4:3:1,0 1 0 0 1,0,4,19
0,25,19 4 1 1,4,1 4,1:0:2;4:0:1;4:3:1,0 2 0 0 2,0,3,19
0,25,19 1 1 1 1 1 1,7,1 4,1:0:6;4:3:1,0 6 0 0 1,5,3,19
0,25,16 9,2,1 4,1:3:1;4:1:1,0 1 0 0 1,0,4,16
0,25,16 6 1 1 1,5,1 4,1:0:3;1:1:1;1:3:1,0 5 0 0 0,5,4,16
0,25,16 4 4 1,4,1 4,1:0:1;1:3:1;4:0:2,0 2 0 0 2,0,3,16
0,25,16 4 1 1 1 1 1,7,1 4,1:0:5;1:3:1;4:0:1,0 6 0 0 1,5,3,16
0,25,16 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;1:3:1,0 10 0 0 0,10,3,16
0,25,14 11,2,1 4,1:2:1;4:2:1,0 1 0 0 1,0,4,14
0,25,14 9 1 1,4,1 4,1:0:2;4:1:1;4:2:1,0 2 0 0 2,0,3,14
0,25,14 6 4 1,4,1 4,1:0:1;1:1:1;4:0:1;4:2:1,0 2 0 0 2,0,3,14
0,25,14 6 1 1 1 1 1,7,1 4,1:0:5;1:1:1;4:2:1,0 6 0 0 1,5,3,14
0,25,14 4 4 1 1 1,6,1 4,1:0:3;4:0:2;4:2:1,0 3 0 0 3,0,2,14
0,25,14 4 1 1 1 1 1 1 1,9,1 4,1:0:7;4:0:1;4:2:1,0 7 0 0 2,5,2,14
0,25,14 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:11;4:2:1,0 11 0 0 1,10,2,14
0,25,11 11 1 1 1,5,1 4,1:0:3;1:2:2,0 5 0 0 0,5,4,11
0,25,11 9 4 1,4,1 4,1:0:1;1:2:1;4:0:1;4:1:1,0 2 0 0 2,0,3,11
0,25,11 9 1 1 1 1 1,7,1 4,1:0:5;1:2:1;4:1:1,0 6 0 0 1,5,3,11
0,25,11 6 6 1 1,5,1 4,1:0:2;1:1:2;1:2:1,0 5 0 0 0,5,4,11
0,25,11 6 4 4,4,1 4,1:1:1;1:2:1;4:0:2,0 2 0 0 2,0,3,11
0,25,11 6 4 1 1 1 1,7,1 4,1:0:4;1:1:1;1:2:1;4:0:1,0 6 0 0 1,5,3,11
0,25,11 6 1 1 1 1 1 1 1 1,10,1 4,1:0:8;1:1:1;1:2:1,0 10 0 0 0,10,3,11
0,25,11 4 4 4 1 1,6,1 4,1:0:2;1:2:1;4:0:3,0 3 0 0 3,0,2,11
0,25,11 4 4 1 1 1 1 1 1,9,1 4,1:0:6;1:2:1;4:0:2,0 7 0 0 2,5,2,11
0,25,11 4 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;1:2:1;4:0:1,0 11 0 0 1,10,2,11
0,25,11 1 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:14;1:2:1,0 15 0 0 0,15,2,11
0,25,9 9 6 1,4,1 4,1:0:1;1:1:1;4:1:2,0 2 0 0 2,0,3,9
0,25,9 9 4 1 1 1,6,1 4,1:0:3;4:0:1;4:1:2,0 3 0 0 3,0,2,9
0,25,9 9 1 1 1 1 1 1 1,9,1 4,1:0:7;4:1:2,0 7 0 0 2,5,2,9
0,25,9 6 6 4,4,1 4,1:1:2;4:0:1;4:1:1,0 2 0 0 2,0,3,9
0,25,9 6 6 1 1 1 1,7,1 4,1:0:4;1:1:2;4:1:1,0 6 0 0 1,5,3,9
0,25,9 6 4 4 1 1,6,1 4,1:0:2;1:1:1;4:0:2;4:1:1,0 3 0 0 3,0,2,9
0,25,9 6 4 1 1 1 1 1 1,9,1 4,1:0:6;1:1:1;4:0:1;4:1:1,0 7 0 0 2,5,2,9
0,25,9 6 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;1:1:1;4:1:1,0 11 0 0 1,10,2,9
0,25,9 4 4 4 4,5,1 4,4:0:4;4:1:1,0 0 0 0 5,-5,1,9
0,25,9 4 4 4 1 1 1 1,8,1 4,1:0:4;4:0:3;4:1:1,0 4 0 0 4,0,1,9
0,25,9 4 4 1 1 1 1 1 1 1 1,11,1 4,1:0:8;4:0:2;4:1:1,0 8 0 0 3,5,1,9
0,25,9 4 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:12;4:0:1;4:1:1,0 12 0 0 2,10,1,9
0,25,9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:16;4:1:1,0 16 0 0 1,15,1,9
0,25,6 6 6 6 1,5,1 4,1:0:1;1:1:4,0 5 0 0 0,5,4,6
0,25,6 6 6 4 1 1 1,7,1 4,1:0:3;1:1:3;4:0:1,0 6 0 0 1,5,3,6
0,25,6 6 6 1 1 1 1 1 1 1,10,1 4,1:0:7;1:1:3,0 10 0 0 0,10,3,6
0,25,6 6 4 4 4 1,6,1 4,1:0:1;1:1:2;4:0:3,0 3 0 0 3,0,2,6
0,25,6 6 4 4 1 1 1 1 1,9,1 4,1:0:5;1:1:2;4:0:2,0 7 0 0 2,5,2,6
0,25,6 6 4 1 1 1 1 1 1 1 1 1,12,1 4,1:0:9;1:1:2;4:0:1,0 11 0 0 1,10,2,6
0,25,6 6 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:13;1:1:2,0 15 0 0 0,15,2,6
0,25,6 4 4 4 4 1 1 1,8,1 4,1:0:3;1:1:1;4:0:4,0 4 0 0 4,0,1,6
0,25,6 4 4 4 1 1 1 1 1 1 1,11,1 4,1:0:7;1:1:1;4:0:3,0 8 0 0 3,5,1,6
0,25,6 4 4 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:11;1:1:1;4:0:2,0 12 0 0 2,10,1,6
0,25,6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:15;1:1:1;4:0:1,0 16 0 0 1,15,1,6
0,25,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,20,1 4,1:0:19;1:1:1,0 20 0 0 0,20,1,6
0,25,4 4 4 4 4 4 1,7,1 4,1:0:1;4:0:6,0 1 0 0 6,-5,0,4
0,25,4 4 4 4 4 1 1 1 1 1,10,1 4,1:0:5;4:0:5,0 5 0 0 5,0,0,4
0,25,4 4 4 4 1 1 1 1 1 1 1 1 1,13,1 4,1:0:9;4:0:4,0 9 0 0 4,5,0,4
0,25,4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:13;4:0:3,0 13 0 0 3,10,0,4
0,25,4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,19,1 4,1:0:17;4:0:2,0 17 0 0 2,15,0,4
0,25,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,22,1 4,1:0:21;4:0:1,0 21 0 0 1,20,0,4
0,25,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,25,1 4,1:0:25,0 25 0 0 0,25,0,1
0,26,26,1,1 4,1:5:1,0 1 0 0 0,1,5,26
0,26,24 1 1,3,1 4,1:0:2;4:4:1,0 2 0 0 1,1,4,24
0,26,21 4 1,3,1 4,1:0:1;1:4:1;4:0:1,0 2 0 0 1,1,4,21
0,26,21 1 1 1 1 1,6,1 4,1:0:5;1:4:1,0 6 0 0 0,6,4,21
0,26,19 6 1,3,1 4,1:0:1;1:1:1;4:3:1,0 2 0 0 1,1,4,19
0,26,19 4 1 1 1,5,1 4,1:0:3;4:0:1;4:3:1,0 3 0 0 2,1,3,19
0,26,19 1 1 1 1 1 1 1,8,1 4,1:0:7;4:3:1,0 7 0 0 1,6,3,19
0,26,16 9 1,3,1 4,1:0:1;1:3:1;4:1:1,0 2 0 0 1,1,4,16
0,26,16 6 4,3,1 4,1:1:1;1:3:1;4:0:1,0 2 0 0 1,1,4,16
0,26,16 6 1 1 1 1,6,1 4,1:0:4;1:1:1;1:3:1,0 6 0 0 0,6,4,16
0,26,16 4 4 1 1,5,1 4,1:0:2;1:3:1;4:0:2,0 3 0 0 2,1,3,16
0,26,16 4 1 1 1 1 1 1,8,1 4,1:0:6;1:3:1;4:0:1,0 7 0 0 1,6,3,16
0,26,16 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;1:3:1,0 11 0 0 0,11,3,16
0,26,14 11 1,3,1 4,1:0:1;1:2:1;4:2:1,0 2 0 0 1,1,4,14
0,26,14 9 1 1 1,5,1 4,1:0:3;4:1:1;4:2:1,0 3 0 0 2,1,3,14
0,26,14 6 6,3,1 4,1:1:2;4:2:1,0 2 0 0 1,1,4,14
0,26,14 6 4 1 1,5,1 4,1:0:2;1:1:1;4:0:1;4:2:1,0 3 0 0 2,1,3,14
0,26,14 6 1 1 1 1 1 1,8,1 4,1:0:6;1:1:1;4:2:1,0 7 0 0 1,6,3,14
0,26,14 4 4 4,4,1 4,4:0:3;4:2:1,0 0 0 0 4,-4,2,14
0,26,14 4 4 1 1 1 1,7,1 4,1:0:4;4:0:2;4:2:1,0 4 0 0 3,1,2,14
0,26,14 4 1 1 1 1 1 1 1 1,10,1 4,1:0:8;4:0:1;4:2:1,0 8 0 0 2,6,2,14
0,26,14 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:12;4:2:1,0 12 0 0 1,11,2,14
0,26,11 11 4,3,1 4,1:2:2;4:0:1,0 2 0 0 1,1,4,11
0,26,11 11 1 1 1 1,6,1 4,1:0:4;1:2:2,0 6 0 0 0,6,4,11
0,26,11 9 6,3,1 4,1:1:1;1:2:1;4:1:1,0 2 0 0 1,1,4,11
0,26,11 9 4 1 1,5,1 4,1:0:2;1:2:1;4:0:1;4:1:1,0 3 0 0 2,1,3,11
0,26,11 9 1 1 1 1 1 1,8,1 4,1:0:6;1:2:1;4:1:1,0 7 0 0 1,6,3,11
0,26,11 6 6 1 1 1,6,1 4,1:0:3;1:1:2;1:2:1,0 6 0 0 0,6,4,11
0,26,11 6 4 4 1,5,1 4,1:0:1;1:1:1;1:2:1;4:0:2,0 3 0 0 2,1,3,11
0,26,11 6 4 1 1 1 1 1,8,1 4,1:0:5;1:1:1;1:2:1;4:0:1,0 7 0 0 1,6,3,11
0,26,11 6 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;1:1:1;1:2:1,0 11 0 0 0,11,3,11
0,26,11 4 4 4 1 1 1,7,1 4,1:0:3;1:2:1;4:0:3,0 4 0 0 3,1,2,11
0,26,11 4 4 1 1 1 1 1 1 1,10,1 4,1:0:7;1:2:1;4:0:2,0 8 0 0 2,6,2,11
0,26,11 4 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;1:2:1;4:0:1,0 12 0 0 1,11,2,11
0,26,11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:15;1:2:1,0 16 0 0 0,16,2,11
0,26,9 9 6 1 1,5,1 4,1:0:2;1:1:1;4:1:2,0 3 0 0 2,1,3,9
0,26,9 9 4 4,4,1 4,4:0:2;4:1:2,0 0 0 0 4,-4,2,9
0,26,9 9 4 1 1 1 1,7,1 4,1:0:4;4:0:1;4:1:2,0 4 0 0 3,1,2,9
0,26,9 9 1 1 1 1 1 1 1 1,10,1 4,1:0:8;4:1:2,0 8 0 0 2,6,2,9
0,26,9 6 6 4 1,5,1 4,1:0:1;1:1:2;4:0:1;4:1:1,0 3 0 0 2,1,3,9
0,26,9 6 6 1 1 1 1 1,8,1 4,1:0:5;1:1:2;4:1:1,0 7 0 0 1,6,3,9
0,26,9 6 4 4 1 1 1,7,1 4,1:0:3;1:1:1;4:0:2;4:1:1,0 4 0 0 3,1,2,9
0,26,9 6 4 1 1 1 1 1 1 1,10,1 4,1:0:7;1:1:1;4:0:1;4:1:1,0 8 0 0 2,6,2,9
0,26,9 6 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;1:1:1;4:1:1,0 12 0 0 1,11,2,9
0,26,9 4 4 4 4 1,6,1 4,1:0:1;4:0:4;4:1:1,0 1 0 0 5,-4,1,9
0,26,9 4 4 4 1 1 1 1 1,9,1 4,1:0:5;4:0:3;4:1:1,0 5 0 0 4,1,1,9
0,26,9 4 4 1 1 1 1 1 1 1 1 1,12,1 4,1:0:9;4:0:2;4:1:1,0 9 0 0 3,6,1,9
0,26,9 4 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:13;4:0:1;4:1:1,0 13 0 0 2,11,1,9
0,26,9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:17;4:1:1,0 17 0 0 1,16,1,9
0,26,6 6 6 6 1 1,6,1 4,1:0:2;1:1:4,0 6 0 0 0,6,4,6
0,26,6 6 6 4 4,5,1 4,1:1:3;4:0:2,0 3 0 0 2,1,3,6
0,26,6 6 6 4 1 1 1 1,8,1 4,1:0:4;1:1:3;4:0:1,0 7 0 0 1,6,3,6
0,26,6 6 6 1 1 1 1 1 1 1 1,11,1 4,1:0:8;1:1:3,0 11 0 0 0,11,3,6
0,26,6 6 4 4 4 1 1,7,1 4,1:0:2;1:1:2;4:0:3,0 4 0 0 3,1,2,6
0,26,6 6 4 4 1 1 1 1 1 1,10,1 4,1:0:6;1:1:2;4:0:2,0 8 0 0 2,6,2,6
0,26,6 6 4 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:10;1:1:2;4:0:1,0 12 0 0 1,11,2,6
0,26,6 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:14;1:1:2,0 16 0 0 0,16,2,6
0,26,6 4 4 4 4 4,6,1 4,1:1:1;4:0:5,0 1 0 0 5,-4,1,6
0,26,6 4 4 4 4 1 1 1 1,9,1 4,1:0:4;1:1:1;4:0:4,0 5 0 0 4,1,1,6
0,26,6 4 4 4 1 1 1 1 1 1 1 1,12,1 4,1:0:8;1:1:1;4:0:3,0 9 0 0 3,6,1,6
0,26,6 4 4 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:12;1:1:1;4:0:2,0 13 0 0 2,11,1,6
0,26,6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:16;1:1:1;4:0:1,0 17 0 0 1,16,1,6
0,26,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,21,1 4,1:0:20;1:1:1,0 21 0 0 0,21,1,6
0,26,4 4 4 4 4 4 1 1,8,1 4,1:0:2;4:0:6,0 2 0 0 6,-4,0,4
0,26,4 4 4 4 4 1 1 1 1 1 1,11,1 4,1:0:6;4:0:5,0 6 0 0 5,1,0,4
