"alpha","N","n","S","S_size","sign","exponent"
0,11,0,"{2;3;7}",3,-1,12
0,11,0,"{2;3;8}",3,-1,13
0,11,0,"{2;3;9}",3,-1,14
0,11,0,"{2;3;10}",3,-1,15
0,11,0,"{2;3;11}",3,-1,16
0,11,0,"{2;4;5}",3,-1,11
0,11,0,"{2;4;6}",3,-1,12
0,11,0,"{2;4;7}",3,-1,13
0,11,0,"{2;4;8}",3,-1,14
0,11,0,"{2;4;9}",3,-1,15
0,11,0,"{2;4;10}",3,-1,16
0,11,0,"{2;4;11}",3,-1,17
0,11,0,"{2;5;6}",3,-1,13
0,11,0,"{2;5;7}",3,-1,14
0,11,0,"{2;5;8}",3,-1,15
0,11,0,"{2;5;9}",3,-1,16
0,11,0,"{2;5;10}",3,-1,17
0,11,0,"{2;5;11}",3,-1,18
0,11,0,"{2;6;7}",3,-1,15
0,11,0,"{2;6;8}",3,-1,16
0,11,0,"{2;6;9}",3,-1,17
0,11,0,"{2;6;10}",3,-1,18
0,11,0,"{2;6;11}",3,-1,19
0,11,0,"{2;7;8}",3,-1,17
0,11,0,"{2;7;9}",3,-1,18
0,11,0,"{2;7;10}",3,-1,19
0,11,0,"{2;7;11}",3,-1,20
0,11,0,"{2;8;9}",3,-1,19
0,11,0,"{2;8;10}",3,-1,20
0,11,0,"{2;8;11}",3,-1,21
0,11,0,"{2;9;10}",3,-1,21
0,11,0,"{2;9;11}",3,-1,22
0,11,0,"{2;10;11}",3,-1,23
0,11,0,"{3;4;5}",3,-1,12
0,11,0,"{3;4;6}",3,-1,13
0,11,0,"{3;4;7}",3,-1,14
0,11,0,"{3;4;8}",3,-1,15
0,11,0,"{3;4;9}",3,-1,16
0,11,0,"{3;4;10}",3,-1,17
0,11,0,"{3;4;11}",3,-1,18
0,11,0,"{3;5;6}",3,-1,14
0,11,0,"{3;5;7}",3,-1,15
0,11,0,"{3;5;8}",3,-1,16
0,11,0,"{3;5;9}",3,-1,17
0,11,0,"{3;5;10}",3,-1,18
0,11,0,"{3;5;11}",3,-1,19
0,11,0,"{3;6;7}",3,-1,16
0,11,0,"{3;6;8}",3,-1,17
0,11,0,"{3;6;9}",3,-1,18
0,11,0,"{3;6;10}",3,-1,19
0,11,0,"{3;6;11}",3,-1,20
0,11,0,"{3;7;8}",3,-1,18
0,11,0,"{3;7;9}",3,-1,19
0,11,0,"{3;7;10}",3,-1,20
0,11,0,"{3;7;11}",3,-1,21
0,11,0,"{3;8;9}",3,-1,20
0,11,0,"{3;8;10}",3,-1,21
0,11,0,"{3;8;11}",3,-1,22
0,11,0,"{3;9;10}",3,-1,22
0,11,0,"{3;9;11}",3,-1,23
0,11,0,"{3;10;11}",3,-1,24
0,11,0,"{4;5;6}",3,-1,15
0,11,0,"{4;5;7}",3,-1,16
0,11,0,"{4;5;8}",3,-1,17
0,11,0,"{4;5;9}",3,-1,18
0,11,0,"{4;5;10}",3,-1,19
0,11,0,"{4;5;11}",3,-1,20
0,11,0,"{4;6;7}",3,-1,17
0,11,0,"{4;6;8}",3,-1,18
0,11,0,"{4;6;9}",3,-1,19
0,11,0,"{4;6;10}",3,-1,20
0,11,0,"{4;6;11}",3,-1,21
0,11,0,"{4;7;8}",3,-1,19
0,11,0,"{4;7;9}",3,-1,20
0,11,0,"{4;7;10}",3,-1,21
0,11,0,"{4;7;11}",3,-1,22
0,11,0,"{4;8;9}",3,-1,21
0,11,0,"{4;8;10}",3,-1,22
0,11,0,"{4;8;11}",3,-1,23
0,11,0,"{4;9;10}",3,-1,23
0,11,0,"{4;9;11}",3,-1,24
0,11,0,"{4;10;11}",3,-1,25
0,11,0,"{5;6;7}",3,-1,18
0,11,0,"{5;6;8}",3,-1,19
0,11,0,"{5;6;9}",3,-1,20
0,11,0,"{5;6;10}",3,-1,21
0,11,0,"{5;6;11}",3,-1,22
0,11,0,"{5;7;8}",3,-1,20
0,11,0,"{5;7;9}",3,-1,21
0,11,0,"{5;7;10}",3,-1,22
0,11,0,"{5;7;11}",3,-1,23
0,11,0,"{5;8;9}",3,-1,22
0,11,0,"{5;8;10}",3,-1,23
0,11,0,"{5;8;11}",3,-1,24
0,11,0,"{5;9;10}",3,-1,24
0,11,0,"{5;9;11}",3,-1,25
0,11,0,"{5;10;11}",3,-1,26
0,11,0,"{6;7;8}",3,-1,21
0,11,0,"{6;7;9}",3,-1,22
0,11,0,"{6;7;10}",3,-1,23
0,11,0,"{6;7;11}",3,-1,24
0,11,0,"{6;8;9}",3,-1,23
0,11,0,"{6;8;10}",3,-1,24
0,11,0,"{6;8;11}",3,-1,25
0,11,0,"{6;9;10}",3,-1,25
0,11,0,"{6;9;11}",3,-1,26
0,11,0,"{6;10;11}",3,-1,27
0,11,0,"{7;8;9}",3,-1,24
0,11,0,"{7;8;10}",3,-1,25
0,11,0,"{7;8;11}",3,-1,26
0,11,0,"{7;9;10}",3,-1,26
0,11,0,"{7;9;11}",3,-1,27
0,11,0,"{7;10;11}",3,-1,28
0,11,0,"{8;9;10}",3,-1,27
0,11,0,"{8;9;11}",3,-1,28
0,11,0,"{8;10;11}",3,-1,29
0,11,0,"{9;10;11}",3,-1,30
0,11,0,"{1;2;3;4}",4,1,10
0,11,0,"{1;2;3;5}",4,1,11
0,11,0,"{1;2;3;6}",4,1,12
0,11,0,"{1;2;3;7}",4,1,13
0,11,0,"{1;2;3;8}",4,1,14
0,11,0,"{1;2;3;9}",4,1,15
0,11,0,"{1;2;3;10}",4,1,16
0,11,0,"{1;2;3;11}",4,1,17
0,11,0,"{1;2;4;5}",4,1,12
0,11,0,"{1;2;4;6}",4,1,13
0,11,0,"{1;2;4;7}",4,1,14
0,11,0,"{1;2;4;8}",4,1,15
0,11,0,"{1;2;4;9}",4,1,16
0,11,0,"{1;2;4;10}",4,1,17
0,11,0,"{1;2;4;11}",4,1,18
0,11,0,"{1;2;5;6}",4,1,14
0,11,0,"{1;2;5;7}",4,1,15
0,11,0,"{1;2;5;8}",4,1,16
0,11,0,"{1;2;5;9}",4,1,17
0,11,0,"{1;2;5;10}",4,1,18
0,11,0,"{1;2;5;11}",4,1,19
0,11,0,"{1;2;6;7}",4,1,16
0,11,0,"{1;2;6;8}",4,1,17
0,11,0,"{1;2;6;9}",4,1,18
0,11,0,"{1;2;6;10}",4,1,19
0,11,0,"{1;2;6;11}",4,1,20
0,11,0,"{1;2;7;8}",4,1,18
0,11,0,"{1;2;7;9}",4,1,19
0,11,0,"{1;2;7;10}",4,1,20
0,11,0,"{1;2;7;11}",4,1,21
0,11,0,"{1;2;8;9}",4,1,20
0,11,0,"{1;2;8;10}",4,1,21
0,11,0,"{1;2;8;11}",4,1,22
0,11,0,"{1;2;9;10}",4,1,22
0,11,0,"{1;2;9;11}",4,1,23
0,11,0,"{1;2;10;11}",4,1,24
0,11,0,"{1;3;4;5}",4,1,13
0,11,0,"{1;3;4;6}",4,1,14
0,11,0,"{1;3;4;7}",4,1,15
0,11,0,"{1;3;4;8}",4,1,16
0,11,0,"{1;3;4;9}",4,1,17
0,11,0,"{1;3;4;10}",4,1,18
0,11,0,"{1;3;4;11}",4,1,19
0,11,0,"{1;3;5;6}",4,1,15
0,11,0,"{1;3;5;7}",4,1,16
0,11,0,"{1;3;5;8}",4,1,17
0,11,0,"{1;3;5;9}",4,1,18
0,11,0,"{1;3;5;10}",4,1,19
0,11,0,"{1;3;5;11}",4,1,20
0,11,0,"{1;3;6;7}",4,1,17
0,11,0,"{1;3;6;8}",4,1,18
0,11,0,"{1;3;6;9}",4,1,19
0,11,0,"{1;3;6;10}",4,1,20
0,11,0,"{1;3;6;11}",4,1,21
0,11,0,"{1;3;7;8}",4,1,19
0,11,0,"{1;3;7;9}",4,1,20
0,11,0,"{1;3;7;10}",4,1,21
0,11,0,"{1;3;7;11}",4,1,22
0,11,0,"{1;3;8;9}",4,1,21
0,11,0,"{1;3;8;10}",4,1,22
0,11,0,"{1;3;8;11}",4,1,23
0,11,0,"{1;3;9;10}",4,1,23
0,11,0,"{1;3;9;11}",4,1,24
0,11,0,"{1;3;10;11}",4,1,25
0,11,0,"{1;4;5;6}",4,1,16
0,11,0,"{1;4;5;7}",4,1,17
0,11,0,"{1;4;5;8}",4,1,18
0,11,0,"{1;4;5;9}",4,1,19
0,11,0,"{1;4;5;10}",4,1,20
0,11,0,"{1;4;5;11}",4,1,21
0,11,0,"{1;4;6;7}",4,1,18
0,11,0,"{1;4;6;8}",4,1,19
0,11,0,"{1;4;6;9}",4,1,20
0,11,0,"{1;4;6;10}",4,1,21
0,11,0,"{1;4;6;11}",4,1,22
0,11,0,"{1;4;7;8}",4,1,20
0,11,0,"{1;4;7;9}",4,1,21
0,11,0,"{1;4;7;10}",4,1,22
0,11,0,"{1;4;7;11}",4,1,23
0,11,0,"{1;4;8;9}",4,1,22
0,11,0,"{1;4;8;10}",4,1,23
0,11,0,"{1;4;8;11}",4,1,24
0,11,0,"{1;4;9;10}",4,1,24
0,11,0,"{1;4;9;11}",4,1,25
0,11,0,"{1;4;10;11}",4,1,26
0,11,0,"{1;5;6;7}",4,1,19
0,11,0,"{1;5;6;8}",4,1,20
0,11,0,"{1;5;6;9}",4,1,21
0,11,0,"{1;5;6;10}",4,1,22
0,11,0,"{1;5;6;11}",4,1,23
0,11,0,"{1;5;7;8}",4,1,21
0,11,0,"{1;5;7;9}",4,1,22
0,11,0,"{1;5;7;10}",4,1,23
0,11,0,"{1;5;7;11}",4,1,24
0,11,0,"{1;5;8;9}",4,1,23
0,11,0,"{1;5;8;10}",4,1,24
0,11,0,"{1;5;8;11}",4,1,25
0,11,0,"{1;5;9;10}",4,1,25
0,11,0,"{1;5;9;11}",4,1,26
0,11,0,"{1;5;10;11}",4,1,27
0,11,0,"{1;6;7;8}",4,1,22
0,11,0,"{1;6;7;9}",4,1,23
0,11,0,"{1;6;7;10}",4,1,24
0,11,0,"{1;6;7;11}",4,1,25
0,11,0,"{1;6;8;9}",4,1,24
0,11,0,"{1;6;8;10}",4,1,25
0,11,0,"{1;6;8;11}",4,1,26
0,11,0,"{1;6;9;10}",4,1,26
0,11,0,"{1;6;9;11}",4,1,27
0,11,0,"{1;6;10;11}",4,1,28
0,11,0,"{1;7;8;9}",4,1,25
0,11,0,"{1;7;8;10}",4,1,26
0,11,0,"{1;7;8;11}",4,1,27
0,11,0,"{1;7;9;10}",4,1,27
0,11,0,"{1;7;9;11}",4,1,28
0,11,0,"{1;7;10;11}",4,1,29
0,11,0,"{1;8;9;10}",4,1,28
0,11,0,"{1;8;9;11}",4,1,29
0,11,0,"{1;8;10;11}",4,1,30
0,11,0,"{1;9;10;11}",4,1,31
0,11,0,"{2;3;4;5}",4,1,14
0,11,0,"{2;3;4;6}",4,1,15
0,11,0,"{2;3;4;7}",4,1,16
0,11,0,"{2;3;4;8}",4,1,17
0,11,0,"{2;3;4;9}",4,1,18
0,11,0,"{2;3;4;10}",4,1,19
0,11,0,"{2;3;4;11}",4,1,20
0,11,0,"{2;3;5;6}",4,1,16
0,11,0,"{2;3;5;7}",4,1,17
0,11,0,"{2;3;5;8}",4,1,18
0,11,0,"{2;3;5;9}",4,1,19
0,11,0,"{2;3;5;10}",4,1,20
0,11,0,"{2;3;5;11}",4,1,21
0,11,0,"{2;3;6;7}",4,1,18
0,11,0,"{2;3;6;8}",4,1,19
0,11,0,"{2;3;6;9}",4,1,20
0,11,0,"{2;3;6;10}",4,1,21
0,11,0,"{2;3;6;11}",4,1,22
0,11,0,"{2;3;7;8}",4,1,20
0,11,0,"{2;3;7;9}",4,1,21
0,11,0,"{2;3;7;10}",4,1,22
0,11,0,"{2;3;7;11}",4,1,23
0,11,0,"{2;3;8;9}",4,1,22
0,11,0,"{2;3;8;10}",4,1,23
0,11,0,"{2;3;8;11}",4,1,24
0,11,0,"{2;3;9;10}",4,1,24
0,11,0,"{2;3;9;11}",4,1,25
0,11,0,"{2;3;10;11}",4,1,26
0,11,0,"{2;4;5;6}",4,1,17
0,11,0,"{2;4;5;7}",4,1,18
0,11,0,"{2;4;5;8}",4,1,19
0,11,0,"{2;4;5;9}",4,1,20
0,11,0,"{2;4;5;10}",4,1,21
0,11,0,"{2;4;5;11}",4,1,22
0,11,0,"{2;4;6;7}",4,1,19
0,11,0,"{2;4;6;8}",4,1,20
0,11,0,"{2;4;6;9}",4,1,21
0,11,0,"{2;4;6;10}",4,1,22
0,11,0,"{2;4;6;11}",4,1,23
0,11,0,"{2;4;7;8}",4,1,21
0,11,0,"{2;4;7;9}",4,1,22
0,11,0,"{2;4;7;10}",4,1,23
0,11,0,"{2;4;7;11}",4,1,24
0,11,0,"{2;4;8;9}",4,1,23
0,11,0,"{2;4;8;10}",4,1,24
0,11,0,"{2;4;8;11}",4,1,25
0,11,0,"{2;4;9;10}",4,1,25
0,11,0,"{2;4;9;11}",4,1,26
0,11,0,"{2;4;10;11}",4,1,27
0,11,0,"{2;5;6;7}",4,1,20
0,11,0,"{2;5;6;8}",4,1,21
0,11,0,"{2;5;6;9}",4,1,22
0,11,0,"{2;5;6;10}",4,1,23
0,11,0,"{2;5;6;11}",4,1,24
0,11,0,"{2;5;7;8}",4,1,22
0,11,0,"{2;5;7;9}",4,1,23
0,11,0,"{2;5;7;10}",4,1,24
0,11,0,"{2;5;7;11}",4,1,25
0,11,0,"{2;5;8;9}",4,1,24
0,11,0,"{2;5;8;10}",4,1,25
0,11,0,"{2;5;8;11}",4,1,26
0,11,0,"{2;5;9;10}",4,1,26
0,11,0,"{2;5;9;11}",4,1,27
0,11,0,"{2;5;10;11}",4,1,28
0,11,0,"{2;6;7;8}",4,1,23
0,11,0,"{2;6;7;9}",4,1,24
0,11,0,"{2;6;7;10}",4,1,25
0,11,0,"{2;6;7;11}",4,1,26
0,11,0,"{2;6;8;9}",4,1,25
0,11,0,"{2;6;8;10}",4,1,26
0,11,0,"{2;6;8;11}",4,1,27
0,11,0,"{2;6;9;10}",4,1,27
0,11,0,"{2;6;9;11}",4,1,28
0,11,0,"{2;6;10;11}",4,1,29
0,11,0,"{2;7;8;9}",4,1,26
0,11,0,"{2;7;8;10}",4,1,27
0,11,0,"{2;7;8;11}",4,1,28
0,11,0,"{2;7;9;10}",4,1,28
0,11,0,"{2;7;9;11}",4,1,29
0,11,0,"{2;7;10;11}",4,1,30
0,11,0,"{2;8;9;10}",4,1,29
0,11,0,"{2;8;9;11}",4,1,30
0,11,0,"{2;8;10;11}",4,1,31
0,11,0,"{2;9;10;11}",4,1,32
0,11,0,"{3;4;5;6}",4,1,18
0,11,0,"{3;4;5;7}",4,1,19
0,11,0,"{3;4;5;8}",4,1,20
0,11,0,"{3;4;5;9}",4,1,21
0,11,0,"{3;4;5;10}",4,1,22
0,11,0,"{3;4;5;11}",4,1,23
0,11,0,"{3;4;6;7}",4,1,20
0,11,0,"{3;4;6;8}",4,1,21
0,11,0,"{3;4;6;9}",4,1,22
0,11,0,"{3;4;6;10}",4,1,23
0,11,0,"{3;4;6;11}",4,1,24
0,11,0,"{3;4;7;8}",4,1,22
0,11,0,"{3;4;7;9}",4,1,23
0,11,0,"{3;4;7;10}",4,1,24
0,11,0,"{3;4;7;11}",4,1,25
0,11,0,"{3;4;8;9}",4,1,24
0,11,0,"{3;4;8;10}",4,1,25
0,11,0,"{3;4;8;11}",4,1,26
0,11,0,"{3;4;9;10}",4,1,26
0,11,0,"{3;4;9;11}",4,1,27
0,11,0,"{3;4;10;11}",4,1,28
0,11,0,"{3;5;6;7}",4,1,21
0,11,0,"{3;5;6;8}",4,1,22
0,11,0,"{3;5;6;9}",4,1,23
0,11,0,"{3;5;6;10}",4,1,24
0,11,0,"{3;5;6;11}",4,1,25
0,11,0,"{3;5;7;8}",4,1,23
0,11,0,"{3;5;7;9}",4,1,24
0,11,0,"{3;5;7;10}",4,1,25
0,11,0,"{3;5;7;11}",4,1,26
0,11,0,"{3;5;8;9}",4,1,25
0,11,0,"{3;5;8;10}",4,1,26
0,11,0,"{3;5;8;11}",4,1,27
0,11,0,"{3;5;9;10}",4,1,27
0,11,0,"{3;5;9;11}",4,1,28
0,11,0,"{3;5;10;11}",4,1,29
0,11,0,"{3;6;7;8}",4,1,24
0,11,0,"{3;6;7;9}",4,1,25
0,11,0,"{3;6;7;10}",4,1,26
0,11,0,"{3;6;7;11}",4,1,27
0,11,0,"{3;6;8;9}",4,1,26
0,11,0,"{3;6;8;10}",4,1,27
0,11,0,"{3;6;8;11}",4,1,28
0,11,0,"{3;6;9;10}",4,1,28
0,11,0,"{3;6;9;11}",4,1,29
0,11,0,"{3;6;10;11}",4,1,30
0,11,0,"{3;7;8;9}",4,1,27
0,11,0,"{3;7;8;10}",4,1,28
0,11,0,"{3;7;8;11}",4,1,29
0,11,0,"{3;7;9;10}",4,1,29
0,11,0,"{3;7;9;11}",4,1,30
0,11,0,"{3;7;10;11}",4,1,31
0,11,0,"{3;8;9;10}",4,1,30
0,11,0,"{3;8;9;11}",4,1,31
0,11,0,"{3;8;10;11}",4,1,32
0,11,0,"{3;9;10;11}",4,1,33
0,11,0,"{4;5;6;7}",4,1,22
0,11,0,"{4;5;6;8}",4,1,23
0,11,0,"{4;5;6;9}",4,1,24
0,11,0,"{4;5;6;10}",4,1,25
0,11,0,"{4;5;6;11}",4,1,26
0,11,0,"{4;5;7;8}",4,1,24
0,11,0,"{4;5;7;9}",4,1,25
0,11,0,"{4;5;7;10}",4,1,26
0,11,0,"{4;5;7;11}",4,1,27
0,11,0,"{4;5;8;9}",4,1,26
0,11,0,"{4;5;8;10}",4,1,27
0,11,0,"{4;5;8;11}",4,1,28
0,11,0,"{4;5;9;10}",4,1,28
0,11,0,"{4;5;9;11}",4,1,29
0,11,0,"{4;5;10;11}",4,1,30
0,11,0,"{4;6;7;8}",4,1,25
0,11,0,"{4;6;7;9}",4,1,26
0,11,0,"{4;6;7;10}",4,1,27
0,11,0,"{4;6;7;11}",4,1,28
0,11,0,"{4;6;8;9}",4,1,27
0,11,0,"{4;6;8;10}",4,1,28
0,11,0,"{4;6;8;11}",4,1,29
0,11,0,"{4;6;9;10}",4,1,29
0,11,0,"{4;6;9;11}",4,1,30
0,11,0,"{4;6;10;11}",4,1,31
0,11,0,"{4;7;8;9}",4,1,28
0,11,0,"{4;7;8;10}",4,1,29
0,11,0,"{4;7;8;11}",4,1,30
0,11,0,"{4;7;9;10}",4,1,30
0,11,0,"{4;7;9;11}",4,1,31
0,11,0,"{4;7;10;11}",4,1,32
0,11,0,"{4;8;9;10}",4,1,31
0,11,0,"{4;8;9;11}",4,1,32
0,11,0,"{4;8;10;11}",4,1,33
0,11,0,"{4;9;10;11}",4,1,34
0,11,0,"{5;6;7;8}",4,1,26
0,11,0,"{5;6;7;9}",4,1,27
0,11,0,"{5;6;7;10}",4,1,28
0,11,0,"{5;6;7;11}",4,1,29
0,11,0,"{5;6;8;9}",4,1,28
0,11,0,"{5;6;8;10}",4,1,29
0,11,0,"{5;6;8;11}",4,1,30
0,11,0,"{5;6;9;10}",4,1,30
0,11,0,"{5;6;9;11}",4,1,31
0,11,0,"{5;6;10;11}",4,1,32
0,11,0,"{5;7;8;9}",4,1,29
0,11,0,"{5;7;8;10}",4,1,30
0,11,0,"{5;7;8;11}",4,1,31
0,11,0,"{5;7;9;10}",4,1,31
0,11,0,"{5;7;9;11}",4,1,32
0,11,0,"{5;7;10;11}",4,1,33
0,11,0,"{5;8;9;10}",4,1,32
0,11,0,"{5;8;9;11}",4,1,33
0,11,0,"{5;8;10;11}",4,1,34
0,11,0,"{5;9;10;11}",4,1,35
0,11,0,"{6;7;8;9}",4,1,30
0,11,0,"{6;7;8;10}",4,1,31
0,11,0,"{6;7;8;11}",4,1,32
0,11,0,"{6;7;9;10}",4,1,32
0,11,0,"{6;7;9;11}",4,1,33
0,11,0,"{6;7;10;11}",4,1,34
0,11,0,"{6;8;9;10}",4,1,33
0,11,0,"{6;8;9;11}",4,1,34
0,11,0,"{6;8;10;11}",4,1,35
0,11,0,"{6;9;10;11}",4,1,36
0,11,0,"{7;8;9;10}",4,1,34
0,11,0,"{7;8;9;11}",4,1,35
0,11,0,"{7;8;10;11}",4,1,36
0,11,0,"{7;9;10;11}",4,1,37
0,11,0,"{8;9;10;11}",4,1,38
0,11,0,"{1;2;3;4;5}",5,-1,15
0,11,0,"{1;2;3;4;6}",5,-1,16
0,11,0,"{1;2;3;4;7}",5,-1,17
0,11,0,"{1;2;3;4;8}",5,-1,18
0,11,0,"{1;2;3;4;9}",5,-1,19
0,11,0,"{1;2;3;4;10}",5,-1,20
0,11,0,"{1;2;3;4;11}",5,-1,21
0,11,0,"{1;2;3;5;6}",5,-1,17
0,11,0,"{1;2;3;5;7}",5,-1,18
0,11,0,"{1;2;3;5;8}",5,-1,19
0,11,0,"{1;2;3;5;9}",5,-1,20
0,11,0,"{1;2;3;5;10}",5,-1,21
0,11,0,"{1;2;3;5;11}",5,-1,22
0,11,0,"{1;2;3;6;7}",5,-1,19
0,11,0,"{1;2;3;6;8}",5,-1,20
0,11,0,"{1;2;3;6;9}",5,-1,21
0,11,0,"{1;2;3;6;10}",5,-1,22
0,11,0,"{1;2;3;6;11}",5,-1,23
0,11,0,"{1;2;3;7;8}",5,-1,21
0,11,0,"{1;2;3;7;9}",5,-1,22
0,11,0,"{1;2;3;7;10}",5,-1,23
0,11,0,"{1;2;3;7;11}",5,-1,24
0,11,0,"{1;2;3;8;9}",5,-1,23
0,11,0,"{1;2;3;8;10}",5,-1,24
0,11,0,"{1;2;3;8;11}",5,-1,25
0,11,0,"{1;2;3;9;10}",5,-1,25
0,11,0,"{1;2;3;9;11}",5,-1,26
0,11,0,"{1;2;3;10;11}",5,-1,27
0,11,0,"{1;2;4;5;6}",5,-1,18
0,11,0,"{1;2;4;5;7}",5,-1,19
0,11,0,"{1;2;4;5;8}",5,-1,20
0,11,0,"{1;2;4;5;9}",5,-1,21
0,11,0,"{1;2;4;5;10}",5,-1,22
0,11,0,"{1;2;4;5;11}",5,-1,23
0,11,0,"{1;2;4;6;7}",5,-1,20
0,11,0,"{1;2;4;6;8}",5,-1,21
0,11,0,"{1;2;4;6;9}",5,-1,22
0,11,0,"{1;2;4;6;10}",5,-1,23
0,11,0,"{1;2;4;6;11}",5,-1,24
0,11,0,"{1;2;4;7;8}",5,-1,22
0,11,0,"{1;2;4;7;9}",5,-1,23
0,11,0,"{1;2;4;7;10}",5,-1,24
0,11,0,"{1;2;4;7;11}",5,-1,25
0,11,0,"{1;2;4;8;9}",5,-1,24
0,11,0,"{1;2;4;8;10}",5,-1,25
0,11,0,"{1;2;4;8;11}",5,-1,26
0,11,0,"{1;2;4;9;10}",5,-1,26
0,11,0,"{1;2;4;9;11}",5,-1,27
0,11,0,"{1;2;4;10;11}",5,-1,28
0,11,0,"{1;2;5;6;7}",5,-1,21
0,11,0,"{1;2;5;6;8}",5,-1,22
0,11,0,"{1;2;5;6;9}",5,-1,23
0,11,0,"{1;2;5;6;10}",5,-1,24
0,11,0,"{1;2;5;6;11}",5,-1,25
0,11,0,"{1;2;5;7;8}",5,-1,23
0,11,0,"{1;2;5;7;9}",5,-1,24
0,11,0,"{1;2;5;7;10}",5,-1,25
0,11,0,"{1;2;5;7;11}",5,-1,26
0,11,0,"{1;2;5;8;9}",5,-1,25
0,11,0,"{1;2;5;8;10}",5,-1,26
0,11,0,"{1;2;5;8;11}",5,-1,27
0,11,0,"{1;2;5;9;10}",5,-1,27
0,11,0,"{1;2;5;9;11}",5,-1,28
0,11,0,"{1;2;5;10;11}",5,-1,29
0,11,0,"{1;2;6;7;8}",5,-1,24
0,11,0,"{1;2;6;7;9}",5,-1,25
0,11,0,"{1;2;6;7;10}",5,-1,26
0,11,0,"{1;2;6;7;11}",5,-1,27
0,11,0,"{1;2;6;8;9}",5,-1,26
0,11,0,"{1;2;6;8;10}",5,-1,27
0,11,0,"{1;2;6;8;11}",5,-1,28
0,11,0,"{1;2;6;9;10}",5,-1,28
0,11,0,"{1;2;6;9;11}",5,-1,29
0,11,0,"{1;2;6;10;11}",5,-1,30
0,11,0,"{1;2;7;8;9}",5,-1,27
0,11,0,"{1;2;7;8;10}",5,-1,28
0,11,0,"{1;2;7;8;11}",5,-1,29
0,11,0,"{1;2;7;9;10}",5,-1,29
0,11,0,"{1;2;7;9;11}",5,-1,30
0,11,0,"{1;2;7;10;11}",5,-1,31
0,11,0,"{1;2;8;9;10}",5,-1,30
0,11,0,"{1;2;8;9;11}",5,-1,31
0,11,0,"{1;2;8;10;11}",5,-1,32
0,11,0,"{1;2;9;10;11}",5,-1,33
0,11,0,"{1;3;4;5;6}",5,-1,19
0,11,0,"{1;3;4;5;7}",5,-1,20
0,11,0,"{1;3;4;5;8}",5,-1,21
0,11,0,"{1;3;4;5;9}",5,-1,22
0,11,0,"{1;3;4;5;10}",5,-1,23
0,11,0,"{1;3;4;5;11}",5,-1,24
0,11,0,"{1;3;4;6;7}",5,-1,21
0,11,0,"{1;3;4;6;8}",5,-1,22
0,11,0,"{1;3;4;6;9}",5,-1,23
0,11,0,"{1;3;4;6;10}",5,-1,24
0,11,0,"{1;3;4;6;11}",5,-1,25
0,11,0,"{1;3;4;7;8}",5,-1,23
0,11,0,"{1;3;4;7;9}",5,-1,24
0,11,0,"{1;3;4;7;10}",5,-1,25
0,11,0,"{1;3;4;7;11}",5,-1,26
0,11,0,"{1;3;4;8;9}",5,-1,25
0,11,0,"{1;3;4;8;10}",5,-1,26
0,11,0,"{1;3;4;8;11}",5,-1,27
0,11,0,"{1;3;4;9;10}",5,-1,27
0,11,0,"{1;3;4;9;11}",5,-1,28
0,11,0,"{1;3;4;10;11}",5,-1,29
0,11,0,"{1;3;5;6;7}",5,-1,22
0,11,0,"{1;3;5;6;8}",5,-1,23
0,11,0,"{1;3;5;6;9}",5,-1,24
0,11,0,"{1;3;5;6;10}",5,-1,25
0,11,0,"{1;3;5;6;11}",5,-1,26
0,11,0,"{1;3;5;7;8}",5,-1,24
0,11,0,"{1;3;5;7;9}",5,-1,25
0,11,0,"{1;3;5;7;10}",5,-1,26
0,11,0,"{1;3;5;7;11}",5,-1,27
0,11,0,"{1;3;5;8;9}",5,-1,26
0,11,0,"{1;3;5;8;10}",5,-1,27
0,11,0,"{1;3;5;8;11}",5,-1,28
0,11,0,"{1;3;5;9;10}",5,-1,28
0,11,0,"{1;3;5;9;11}",5,-1,29
0,11,0,"{1;3;5;10;11}",5,-1,30
0,11,0,"{1;3;6;7;8}",5,-1,25
0,11,0,"{1;3;6;7;9}",5,-1,26
0,11,0,"{1;3;6;7;10}",5,-1,27
0,11,0,"{1;3;6;7;11}",5,-1,28
0,11,0,"{1;3;6;8;9}",5,-1,27
0,11,0,"{1;3;6;8;10}",5,-1,28
0,11,0,"{1;3;6;8;11}",5,-1,29
0,11,0,"{1;3;6;9;10}",5,-1,29
0,11,0,"{1;3;6;9;11}",5,-1,30
0,11,0,"{1;3;6;10;11}",5,-1,31
0,11,0,"{1;3;7;8;9}",5,-1,28
0,11,0,"{1;3;7;8;10}",5,-1,29
0,11,0,"{1;3;7;8;11}",5,-1,30
0,11,0,"{1;3;7;9;10}",5,-1,30
0,11,0,"{1;3;7;9;11}",5,-1,31
0,11,0,"{1;3;7;10;11}",5,-1,32
0,11,0,"{1;3;8;9;10}",5,-1,31
0,11,0,"{1;3;8;9;11}",5,-1,32
0,11,0,"{1;3;8;10;11}",5,-1,33
0,11,0,"{1;3;9;10;11}",5,-1,34
0,11,0,"{1;4;5;6;7}",5,-1,23
0,11,0,"{1;4;5;6;8}",5,-1,24
0,11,0,"{1;4;5;6;9}",5,-1,25
0,11,0,"{1;4;5;6;10}",5,-1,26
0,11,0,"{1;4;5;6;11}",5,-1,27
0,11,0,"{1;4;5;7;8}",5,-1,25
