alpha,weight,partition,length,staircase,mu,mu_residues,beta_set,beta_residues,shifted_beta,shifted_beta_residues,beta_runner_counts,shifted_runner_counts,beta_quotient_sum,shifted_quotient_sum
0,21,19 2,2,3 1,16 1,1 1,20 2,0 2,18 0,3 0,1 0 1 0 0,1 0 0 1 0,4,3
0,21,18 3,2,3 1,15 2,0 2,19 3,4 3,17 1,2 1,0 0 0 1 1,0 1 1 0 0,3,3
0,21,17 4,2,3 1,14 3,4 3,18 4,3 4,16 2,1 2,0 0 0 1 1,0 1 1 0 0,3,3
0,21,17 3 1,3,5 3 1,12 0 0,2 0 0,19 4 1,4 4 1,16 1 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,3,2
0,21,16 5,2,3 1,13 4,3 4,17 5,2 0,15 3,0 3,1 0 1 0 0,1 0 0 1 0,4,3
0,21,16 4 1,3,5 3 1,11 1 0,1 1 0,18 5 1,3 0 1,15 2 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,4,2
0,21,15 6,2,3 1,12 5,2 0,16 6,1 1,14 4,4 4,0 2 0 0 0,0 0 0 0 2,4,2
0,21,15 5 1,3,5 3 1,10 2 0,0 2 0,17 6 1,2 1 1,14 3 -2,4 3 3,0 2 1 0 0,0 0 0 2 1,4,1
0,21,15 4 2,3,5 3 1,10 1 1,0 1 1,17 5 2,2 0 2,14 2 -1,4 2 4,1 0 2 0 0,0 0 1 0 2,4,1
0,21,14 7,2,3 1,11 6,1 1,15 7,0 2,13 5,3 0,1 0 1 0 0,1 0 0 1 0,4,3
0,21,14 6 1,3,5 3 1,9 3 0,4 3 0,16 7 1,1 2 1,13 4 -2,3 4 3,0 2 1 0 0,0 0 0 2 1,4,1
0,21,14 5 2,3,5 3 1,9 2 1,4 2 1,16 6 2,1 1 2,13 3 -1,3 3 4,0 2 1 0 0,0 0 0 2 1,4,1
0,21,13 8,2,3 1,10 7,0 2,14 8,4 3,12 6,2 1,0 0 0 1 1,0 1 1 0 0,3,3
0,21,13 7 1,3,5 3 1,8 4 0,3 4 0,15 8 1,0 3 1,12 5 -2,2 0 3,1 1 0 1 0,1 0 1 1 0,4,2
0,21,13 6 2,3,5 3 1,8 3 1,3 3 1,15 7 2,0 2 2,12 4 -1,2 4 4,1 0 2 0 0,0 0 1 0 2,4,1
0,21,13 5 3,3,5 3 1,8 2 2,3 2 2,15 6 3,0 1 3,12 3 0,2 3 0,1 1 0 1 0,1 0 1 1 0,4,2
0,21,12 9,2,3 1,9 8,4 3,13 9,3 4,11 7,1 2,0 0 0 1 1,0 1 1 0 0,3,3
0,21,12 8 1,3,5 3 1,7 5 0,2 0 0,14 9 1,4 4 1,11 6 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,3,2
0,21,12 7 2,3,5 3 1,7 4 1,2 4 1,14 8 2,4 3 2,11 5 -1,1 0 4,0 0 1 1 1,1 1 0 0 1,3,2
0,21,12 6 3,3,5 3 1,7 3 2,2 3 2,14 7 3,4 2 3,11 4 0,1 4 0,0 0 1 1 1,1 1 0 0 1,3,2
0,21,12 5 3 1,4,7 5 3 1,5 0 0 0,0 0 0 0,15 7 4 1,0 2 4 1,11 3 0 -3,1 3 0 2,1 1 1 0 1,1 1 1 1 0,4,1
0,21,11 9 1,3,5 3 1,6 6 0,1 1 0,13 10 1,3 0 1,10 7 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,4,2
0,21,11 8 2,3,5 3 1,6 5 1,1 0 1,13 9 2,3 4 2,10 6 -1,0 1 4,0 0 1 1 1,1 1 0 0 1,3,2
0,21,11 7 3,3,5 3 1,6 4 2,1 4 2,13 8 3,3 3 3,10 5 0,0 0 0,0 0 0 3 0,3 0 0 0 0,3,3
0,21,11 6 4,3,5 3 1,6 3 3,1 3 3,13 7 4,3 2 4,10 4 1,0 4 1,0 0 1 1 1,1 1 0 0 1,3,2
0,21,11 6 3 1,4,7 5 3 1,4 1 0 0,4 1 0 0,14 8 4 1,4 3 4 1,10 4 0 -3,0 4 0 2,0 1 0 1 2,2 0 1 0 1,3,1
0,21,10 8 3,3,5 3 1,5 5 2,0 0 2,12 9 3,2 4 3,9 6 0,4 1 0,0 0 1 1 1,1 1 0 0 1,3,2
0,21,10 7 4,3,5 3 1,5 4 3,0 4 3,12 8 4,2 3 4,9 5 1,4 0 1,0 0 1 1 1,1 1 0 0 1,3,2
0,21,10 7 3 1,4,7 5 3 1,3 2 0 0,3 2 0 0,13 9 4 1,3 4 4 1,9 5 0 -3,4 0 0 2,0 1 0 1 2,2 0 1 0 1,3,1
0,21,10 6 4 1,4,7 5 3 1,3 1 1 0,3 1 1 0,13 8 5 1,3 3 0 1,9 4 1 -3,4 4 1 2,1 1 0 2 0,0 1 1 0 2,4,0
0,21,9 7 5,3,5 3 1,4 4 4,4 4 4,11 8 5,1 3 0,8 5 2,3 0 2,1 1 0 1 0,1 0 1 1 0,4,2
0,21,9 7 4 1,4,7 5 3 1,2 2 1 0,2 2 1 0,12 9 5 1,2 4 0 1,8 5 1 -3,3 0 1 2,1 1 1 0 1,1 1 1 1 0,4,1
0,21,9 6 4 2,4,7 5 3 1,2 1 1 1,2 1 1 1,12 8 5 2,2 3 0 2,8 4 1 -2,3 4 1 3,1 0 2 1 0,0 1 0 2 1,4,0
0,22,22,1,1,21,1,22,2,21,1,0 0 1 0 0,0 1 0 0 0,4,4
0,22,21 1,2,3 1,18 0,3 0,22 1,2 1,20 -1,0 4,0 1 1 0 0,1 0 0 0 1,4,3
0,22,20 2,2,3 1,17 1,2 1,21 2,1 2,19 0,4 0,0 1 1 0 0,1 0 0 0 1,4,3
0,22,19 3,2,3 1,16 2,1 2,20 3,0 3,18 1,3 1,1 0 0 1 0,0 1 0 1 0,4,3
0,22,18 4,2,3 1,15 3,0 3,19 4,4 4,17 2,2 2,0 0 0 0 2,0 0 2 0 0,3,3
0,22,18 3 1,3,5 3 1,13 0 0,3 0 0,20 4 1,0 4 1,17 1 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,4,2
0,22,17 5,2,3 1,14 4,4 4,18 5,3 0,16 3,1 3,1 0 0 1 0,0 1 0 1 0,4,3
0,22,17 4 1,3,5 3 1,12 1 0,2 1 0,19 5 1,4 0 1,16 2 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,4,2
0,22,16 6,2,3 1,13 5,3 0,17 6,2 1,15 4,0 4,0 1 1 0 0,1 0 0 0 1,4,3
0,22,16 5 1,3,5 3 1,11 2 0,1 2 0,18 6 1,3 1 1,15 3 -2,0 3 3,0 2 0 1 0,1 0 0 2 0,4,2
0,22,16 4 2,3,5 3 1,11 1 1,1 1 1,18 5 2,3 0 2,15 2 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,4,2
0,22,15 7,2,3 1,12 6,2 1,16 7,1 2,14 5,4 0,0 1 1 0 0,1 0 0 0 1,4,3
0,22,15 6 1,3,5 3 1,10 3 0,0 3 0,17 7 1,2 2 1,14 4 -2,4 4 3,0 1 2 0 0,0 0 0 1 2,4,1
0,22,15 5 2,3,5 3 1,10 2 1,0 2 1,17 6 2,2 1 2,14 3 -1,4 3 4,0 1 2 0 0,0 0 0 1 2,4,1
0,22,14 8,2,3 1,11 7,1 2,15 8,0 3,13 6,3 1,1 0 0 1 0,0 1 0 1 0,4,3
0,22,14 7 1,3,5 3 1,9 4 0,4 4 0,16 8 1,1 3 1,13 5 -2,3 0 3,0 2 0 1 0,1 0 0 2 0,4,2
0,22,14 6 2,3,5 3 1,9 3 1,4 3 1,16 7 2,1 2 2,13 4 -1,3 4 4,0 1 2 0 0,0 0 0 1 2,4,1
0,22,14 5 3,3,5 3 1,9 2 2,4 2 2,16 6 3,1 1 3,13 3 0,3 3 0,0 2 0 1 0,1 0 0 2 0,4,2
0,22,13 9,2,3 1,10 8,0 3,14 9,4 4,12 7,2 2,0 0 0 0 2,0 0 2 0 0,3,3
0,22,13 8 1,3,5 3 1,8 5 0,3 0 0,15 9 1,0 4 1,12 6 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,4,2
0,22,13 7 2,3,5 3 1,8 4 1,3 4 1,15 8 2,0 3 2,12 5 -1,2 0 4,1 0 1 1 0,1 0 1 0 1,4,2
0,22,13 6 3,3,5 3 1,8 3 2,3 3 2,15 7 3,0 2 3,12 4 0,2 4 0,1 0 1 1 0,1 0 1 0 1,4,2
0,22,13 5 3 1,4,7 5 3 1,6 0 0 0,1 0 0 0,16 7 4 1,1 2 4 1,12 3 0 -3,2 3 0 2,0 2 1 0 1,1 0 2 1 0,4,1
0,22,12 10,2,3 1,9 9,4 4,13 10,3 0,11 8,1 3,1 0 0 1 0,0 1 0 1 0,4,3
0,22,12 9 1,3,5 3 1,7 6 0,2 1 0,14 10 1,4 0 1,11 7 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,4,2
0,22,12 8 2,3,5 3 1,7 5 1,2 0 1,14 9 2,4 4 2,11 6 -1,1 1 4,0 0 1 0 2,0 2 0 0 1,3,2
0,22,12 7 3,3,5 3 1,7 4 2,2 4 2,14 8 3,4 3 3,11 5 0,1 0 0,0 0 0 2 1,2 1 0 0 0,3,3
0,22,12 6 4,3,5 3 1,7 3 3,2 3 3,14 7 4,4 2 4,11 4 1,1 4 1,0 0 1 0 2,0 2 0 0 1,3,2
0,22,12 6 3 1,4,7 5 3 1,5 1 0 0,0 1 0 0,15 8 4 1,0 3 4 1,11 4 0 -3,1 4 0 2,1 1 0 1 1,1 1 1 0 1,4,1
0,22,11 9 2,3,5 3 1,6 6 1,1 1 1,13 10 2,3 0 2,10 7 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,4,2
0,22,11 8 3,3,5 3 1,6 5 2,1 0 2,13 9 3,3 4 3,10 6 0,0 1 0,0 0 0 2 1,2 1 0 0 0,3,3
0,22,11 7 4,3,5 3 1,6 4 3,1 4 3,13 8 4,3 3 4,10 5 1,0 0 1,0 0 0 2 1,2 1 0 0 0,3,3
0,22,11 7 3 1,4,7 5 3 1,4 2 0 0,4 2 0 0,14 9 4 1,4 4 4 1,10 5 0 -3,0 0 0 2,0 1 0 0 3,3 0 1 0 0,3,2
0,22,11 6 4 1,4,7 5 3 1,4 1 1 0,4 1 1 0,14 8 5 1,4 3 0 1,10 4 1 -3,0 4 1 2,1 1 0 1 1,1 1 1 0 1,4,1
0,22,10 8 4,3,5 3 1,5 5 3,0 0 3,12 9 4,2 4 4,9 6 1,4 1 1,0 0 1 0 2,0 2 0 0 1,3,2
0,22,10 8 3 1,4,7 5 3 1,3 3 0 0,3 3 0 0,13 10 4 1,3 0 4 1,9 6 0 -3,4 1 0 2,1 1 0 1 1,1 1 1 0 1,4,1
0,22,10 7 5,3,5 3 1,5 4 4,0 4 4,12 8 5,2 3 0,9 5 2,4 0 2,1 0 1 1 0,1 0 1 0 1,4,2
0,22,10 7 4 1,4,7 5 3 1,3 2 1 0,3 2 1 0,13 9 5 1,3 4 0 1,9 5 1 -3,4 0 1 2,1 1 0 1 1,1 1 1 0 1,4,1
0,22,10 6 4 2,4,7 5 3 1,3 1 1 1,3 1 1 1,13 8 5 2,3 3 0 2,9 4 1 -2,4 4 1 3,1 0 1 2 0,0 1 0 1 2,4,0
0,22,9 7 5 1,4,7 5 3 1,2 2 2 0,2 2 2 0,12 9 6 1,2 4 1 1,8 5 2 -3,3 0 2 2,0 2 1 0 1,1 0 2 1 0,4,1
0,22,9 7 4 2,4,7 5 3 1,2 2 1 1,2 2 1 1,12 9 5 2,2 4 0 2,8 5 1 -2,3 0 1 3,1 0 2 0 1,1 1 0 2 0,4,1
0,23,23,1,1,22,2,23,3,22,2,0 0 0 1 0,0 0 1 0 0,4,4
0,23,22 1,2,3 1,19 0,4 0,23 1,3 1,21 -1,1 4,0 1 0 1 0,0 1 0 0 1,4,3
0,23,21 2,2,3 1,18 1,3 1,22 2,2 2,20 0,0 0,0 0 2 0 0,2 0 0 0 0,4,4
0,23,20 3,2,3 1,17 2,2 2,21 3,1 3,19 1,4 1,0 1 0 1 0,0 1 0 0 1,4,3
0,23,19 4,2,3 1,16 3,1 3,20 4,0 4,18 2,3 2,1 0 0 0 1,0 0 1 1 0,4,3
0,23,19 3 1,3,5 3 1,14 0 0,4 0 0,21 4 1,1 4 1,18 1 -2,3 1 3,0 2 0 0 1,0 1 0 2 0,4,2
0,23,18 5,2,3 1,15 4,0 4,19 5,4 0,17 3,2 3,1 0 0 0 1,0 0 1 1 0,4,3
0,23,18 4 1,3,5 3 1,13 1 0,3 1 0,20 5 1,0 0 1,17 2 -2,2 2 3,2 1 0 0 0,0 0 2 1 0,5,2
0,23,17 6,2,3 1,14 5,4 0,18 6,3 1,16 4,1 4,0 1 0 1 0,0 1 0 0 1,4,3
0,23,17 5 1,3,5 3 1,12 2 0,2 2 0,19 6 1,4 1 1,16 3 -2,1 3 3,0 2 0 0 1,0 1 0 2 0,4,2
0,23,17 4 2,3,5 3 1,12 1 1,2 1 1,19 5 2,4 0 2,16 2 -1,1 2 4,1 0 1 0 1,0 1 1 0 1,4,2
0,23,16 7,2,3 1,13 6,3 1,17 7,2 2,15 5,0 0,0 0 2 0 0,2 0 0 0 0,4,4
0,23,16 6 1,3,5 3 1,11 3 0,1 3 0,18 7 1,3 2 1,15 4 -2,0 4 3,0 1 1 1 0,1 0 0 1 1,4,2
0,23,16 5 2,3,5 3 1,11 2 1,1 2 1,18 6 2,3 1 2,15 3 -1,0 3 4,0 1 1 1 0,1 0 0 1 1,4,2
0,23,15 8,2,3 1,12 7,2 2,16 8,1 3,14 6,4 1,0 1 0 1 0,0 1 0 0 1,4,3
0,23,15 7 1,3,5 3 1,10 4 0,0 4 0,17 8 1,2 3 1,14 5 -2,4 0 3,0 1 1 1 0,1 0 0 1 1,4,2
0,23,15 6 2,3,5 3 1,10 3 1,0 3 1,17 7 2,2 2 2,14 4 -1,4 4 4,0 0 3 0 0,0 0 0 0 3,4,1
0,23,15 5 3,3,5 3 1,10 2 2,0 2 2,17 6 3,2 1 3,14 3 0,4 3 0,0 1 1 1 0,1 0 0 1 1,4,2
0,23,14 9,2,3 1,11 8,1 3,15 9,0 4,13 7,3 2,1 0 0 0 1,0 0 1 1 0,4,3
0,23,14 8 1,3,5 3 1,9 5 0,4 0 0,16 9 1,1 4 1,13 6 -2,3 1 3,0 2 0 0 1,0 1 0 2 0,4,2
0,23,14 7 2,3,5 3 1,9 4 1,4 4 1,16 8 2,1 3 2,13 5 -1,3 0 4,0 1 1 1 0,1 0 0 1 1,4,2
0,23,14 6 3,3,5 3 1,9 3 2,4 3 2,16 7 3,1 2 3,13 4 0,3 4 0,0 1 1 1 0,1 0 0 1 1,4,2
0,23,14 5 3 1,4,7 5 3 1,7 0 0 0,2 0 0 0,17 7 4 1,2 2 4 1,13 3 0 -3,3 3 0 2,0 1 2 0 1,1 0 1 2 0,4,1
0,23,13 10,2,3 1,10 9,0 4,14 10,4 0,12 8,2 3,1 0 0 0 1,0 0 1 1 0,4,3
0,23,13 9 1,3,5 3 1,8 6 0,3 1 0,15 10 1,0 0 1,12 7 -2,2 2 3,2 1 0 0 0,0 0 2 1 0,5,2
0,23,13 8 2,3,5 3 1,8 5 1,3 0 1,15 9 2,0 4 2,12 6 -1,2 1 4,1 0 1 0 1,0 1 1 0 1,4,2
0,23,13 7 3,3,5 3 1,8 4 2,3 4 2,15 8 3,0 3 3,12 5 0,2 0 0,1 0 0 2 0,2 0 1 0 0,4,3
0,23,13 6 4,3,5 3 1,8 3 3,3 3 3,15 7 4,0 2 4,12 4 1,2 4 1,1 0 1 0 1,0 1 1 0 1,4,2
0,23,13 6 3 1,4,7 5 3 1,6 1 0 0,1 1 0 0,16 8 4 1,1 3 4 1,12 4 0 -3,2 4 0 2,0 2 0 1 1,1 0 2 0 1,4,1
0,23,12 10 1,3,5 3 1,7 7 0,2 2 0,14 11 1,4 1 1,11 8 -2,1 3 3,0 2 0 0 1,0 1 0 2 0,4,2
0,23,12 9 2,3,5 3 1,7 6 1,2 1 1,14 10 2,4 0 2,11 7 -1,1 2 4,1 0 1 0 1,0 1 1 0 1,4,2
0,23,12 8 3,3,5 3 1,7 5 2,2 0 2,14 9 3,4 4 3,11 6 0,1 1 0,0 0 0 1 2,1 2 0 0 0,3,3
0,23,12 7 4,3,5 3 1,7 4 3,2 4 3,14 8 4,4 3 4,11 5 1,1 0 1,0 0 0 1 2,1 2 0 0 0,3,3
0,23,12 7 3 1,4,7 5 3 1,5 2 0 0,0 2 0 0,15 9 4 1,0 4 4 1,11 5 0 -3,1 0 0 2,1 1 0 0 2,2 1 1 0 0,4,2
0,23,12 6 4 1,4,7 5 3 1,5 1 1 0,0 1 1 0,15 8 5 1,0 3 0 1,11 4 1 -3,1 4 1 2,2 1 0 1 0,0 2 1 0 1,5,1
0,23,11 9 3,3,5 3 1,6 6 2,1 1 2,13 10 3,3 0 3,10 7 0,0 2 0,1 0 0 2 0,2 0 1 0 0,4,3
0,23,11 8 4,3,5 3 1,6 5 3,1 0 3,13 9 4,3 4 4,10 6 1,0 1 1,0 0 0 1 2,1 2 0 0 0,3,3
0,23,11 8 3 1,4,7 5 3 1,4 3 0 0,4 3 0 0,14 10 4 1,4 0 4 1,10 6 0 -3,0 1 0 2,1 1 0 0 2,2 1 1 0 0,4,2
0,23,11 7 5,3,5 3 1,6 4 4,1 4 4,13 8 5,3 3 0,10 5 2,0 0 2,1 0 0 2 0,2 0 1 0 0,4,3
0,23,11 7 4 1,4,7 5 3 1,4 2 1 0,4 2 1 0,14 9 5 1,4 4 0 1,10 5 1 -3,0 0 1 2,1 1 0 0 2,2 1 1 0 0,4,2
0,23,11 6 4 2,4,7 5 3 1,4 1 1 1,4 1 1 1,14 8 5 2,4 3 0 2,10 4 1 -2,0 4 1 3,1 0 1 1 1,1 1 0 1 1,4,1
0,23,10 8 5,3,5 3 1,5 5 4,0 0 4,12 9 5,2 4 0,9 6 2,4 1 2,1 0 1 0 1,0 1 1 0 1,4,2
0,23,10 8 4 1,4,7 5 3 1,3 3 1 0,3 3 1 0,13 10 5 1,3 0 0 1,9 6 1 -3,4 1 1 2,2 1 0 1 0,0 2 1 0 1,5,1
0,23,10 7 5 1,4,7 5 3 1,3 2 2 0,3 2 2 0,13 9 6 1,3 4 1 1,9 5 2 -3,4 0 2 2,0 2 0 1 1,1 0 2 0 1,4,1
0,23,10 7 4 2,4,7 5 3 1,3 2 1 1,3 2 1 1,13 9 5 2,3 4 0 2,9 5 1 -2,4 0 1 3,1 0 1 1 1,1 1 0 1 1,4,1
0,23,9 7 5 2,4,7 5 3 1,2 2 2 1,2 2 2 1,12 9 6 2,2 4 1 2,8 5 2 -2,3 0 2 3,0 1 2 0 1,1 0 1 2 0,4,1
0,24,24,1,1,23,3,24,4,23,3,0 0 0 0 1,0 0 0 1 0,4,4
0,24,23 1,2,3 1,20 0,0 0,24 1,4 1,22 -1,2 4,0 1 0 0 1,0 0 1 0 1,4,3
0,24,22 2,2,3 1,19 1,4 1,23 2,3 2,21 0,1 0,0 0 1 1 0,1 1 0 0 0,4,4
0,24,21 3,2,3 1,18 2,3 2,22 3,2 3,20 1,0 1,0 0 1 1 0,1 1 0 0 0,4,4
0,24,20 4,2,3 1,17 3,2 3,21 4,1 4,19 2,4 2,0 1 0 0 1,0 0 1 0 1,4,3
0,24,20 3 1,3,5 3 1,15 0 0,0 0 0,22 4 1,2 4 1,19 1 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,4,2
0,24,19 5,2,3 1,16 4,1 4,20 5,0 0,18 3,3 3,2 0 0 0 0,0 0 0 2 0,5,3
0,24,19 4 1,3,5 3 1,14 1 0,4 1 0,21 5 1,1 0 1,18 2 -2,3 2 3,1 2 0 0 0,0 0 1 2 0,5,2
0,24,18 6,2,3 1,15 5,0 0,19 6,4 1,17 4,2 4,0 1 0 0 1,0 0 1 0 1,4,3
0,24,18 5 1,3,5 3 1,13 2 0,3 2 0,20 6 1,0 1 1,17 3 -2,2 3 3,1 2 0 0 0,0 0 1 2 0,5,2
0,24,18 4 2,3,5 3 1,13 1 1,3 1 1,20 5 2,0 0 2,17 2 -1,2 2 4,2 0 1 0 0,0 0 2 0 1,5,2
0,24,17 7,2,3 1,14 6,4 1,18 7,3 2,16 5,1 0,0 0 1 1 0,1 1 0 0 0,4,4
0,24,17 6 1,3,5 3 1,12 3 0,2 3 0,19 7 1,4 2 1,16 4 -2,1 4 3,0 1 1 0 1,0 1 0 1 1,4,2
0,24,17 5 2,3,5 3 1,12 2 1,2 2 1,19 6 2,4 1 2,16 3 -1,1 3 4,0 1 1 0 1,0 1 0 1 1,4,2
0,24,16 8,2,3 1,13 7,3 2,17 8,2 3,15 6,0 1,0 0 1 1 0,1 1 0 0 0,4,4
0,24,16 7 1,3,5 3 1,11 4 0,1 4 0,18 8 1,3 3 1,15 5 -2,0 0 3,0 1 0 2 0,2 0 0 1 0,4,3
0,24,16 6 2,3,5 3 1,11 3 1,1 3 1,18 7 2,3 2 2,15 4 -1,0 4 4,0 0 2 1 0,1 0 0 0 2,4,2
0,24,16 5 3,3,5 3 1,11 2 2,1 2 2,18 6 3,3 1 3,15 3 0,0 3 0,0 1 0 2 0,2 0 0 1 0,4,3
0,24,15 9,2,3 1,12 8,2 3,16 9,1 4,14 7,4 2,0 1 0 0 1,0 0 1 0 1,4,3
0,24,15 8 1,3,5 3 1,10 5 0,0 0 0,17 9 1,2 4 1,14 6 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,4,2
0,24,15 7 2,3,5 3 1,10 4 1,0 4 1,17 8 2,2 3 2,14 5 -1,4 0 4,0 0 2 1 0,1 0 0 0 2,4,2
0,24,15 6 3,3,5 3 1,10 3 2,0 3 2,17 7 3,2 2 3,14 4 0,4 4 0,0 0 2 1 0,1 0 0 0 2,4,2
0,24,15 5 3 1,4,7 5 3 1,8 0 0 0,3 0 0 0,18 7 4 1,3 2 4 1,14 3 0 -3,4 3 0 2,0 1 1 1 1,1 0 1 1 1,4,1
0,24,14 10,2,3 1,11 9,1 4,15 10,0 0,13 8,3 3,2 0 0 0 0,0 0 0 2 0,5,3
0,24,14 9 1,3,5 3 1,9 6 0,4 1 0,16 10 1,1 0 1,13 7 -2,3 2 3,1 2 0 0 0,0 0 1 2 0,5,2
0,24,14 8 2,3,5 3 1,9 5 1,4 0 1,16 9 2,1 4 2,13 6 -1,3 1 4,0 1 1 0 1,0 1 0 1 1,4,2
0,24,14 7 3,3,5 3 1,9 4 2,4 4 2,16 8 3,1 3 3,13 5 0,3 0 0,0 1 0 2 0,2 0 0 1 0,4,3
0,24,14 6 4,3,5 3 1,9 3 3,4 3 3,16 7 4,1 2 4,13 4 1,3 4 1,0 1 1 0 1,0 1 0 1 1,4,2
0,24,14 6 3 1,4,7 5 3 1,7 1 0 0,2 1 0 0,17 8 4 1,2 3 4 1,13 4 0 -3,3 4 0 2,0 1 1 1 1,1 0 1 1 1,4,1
0,24,13 11,2,3 1,10 10,0 0,14 11,4 1,12 9,2 4,0 1 0 0 1,0 0 1 0 1,4,3
0,24,13 10 1,3,5 3 1,8 7 0,3 2 0,15 11 1,0 1 1,12 8 -2,2 3 3,1 2 0 0 0,0 0 1 2 0,5,2
0,24,13 9 2,3,5 3 1,8 6 1,3 1 1,15 10 2,0 0 2,12 7 -1,2 2 4,2 0 1 0 0,0 0 2 0 1,5,2
0,24,13 8 3,3,5 3 1,8 5 2,3 0 2,15 9 3,0 4 3,12 6 0,2 1 0,1 0 0 1 1,1 1 1 0 0,4,3
0,24,13 7 4,3,5 3 1,8 4 3,3 4 3,15 8 4,0 3 4,12 5 1,2 0 1,1 0 0 1 1,1 1 1 0 0,4,3
0,24,13 7 3 1,4,7 5 3 1,6 2 0 0,1 2 0 0,16 9 4 1,1 4 4 1,12 5 0 -3,2 0 0 2,0 2 0 0 2,2 0 2 0 0,4,2
0,24,13 6 4 1,4,7 5 3 1,6 1 1 0,1 1 1 0,16 8 5 1,1 3 0 1,12 4 1 -3,2 4 1 2,1 2 0 1 0,0 1 2 0 1,5,1
0,24,12 10 2,3,5 3 1,7 7 1,2 2 1,14 11 2,4 1 2,11 8 -1,1 3 4,0 1 1 0 1,0 1 0 1 1,4,2
0,24,12 9 3,3,5 3 1,7 6 2,2 1 2,14 10 3,4 0 3,11 7 0,1 2 0,1 0 0 1 1,1 1 1 0 0,4,3
0,24,12 8 4,3,5 3 1,7 5 3,2 0 3,14 9 4,4 4 4,11 6 1,1 1 1,0 0 0 0 3,0 3 0 0 0,3,3
0,24,12 8 3 1,4,7 5 3 1,5 3 0 0,0 3 0 0,15 10 4 1,0 0 4 1,11 6 0 -3,1 1 0 2,2 1 0 0 1,1 2 1 0 0,5,2
0,24,12 7 5,3,5 3 1,7 4 4,2 4 4,14 8 5,4 3 0,11 5 2,1 0 2,1 0 0 1 1,1 1 1 0 0,4,3
0,24,12 7 4 1,4,7 5 3 1,5 2 1 0,0 2 1 0,15 9 5 1,0 4 0 1,11 5 1 -3,1 0 1 2,2 1 0 0 1,1 2 1 0 0,5,2
0,24,12 6 4 2,4,7 5 3 1,5 1 1 1,0 1 1 1,15 8 5 2,0 3 0 2,11 4 1 -2,1 4 1 3,2 0 1 1 0,0 2 0 1 1,5,1
0,24,11 9 4,3,5 3 1,6 6 3,1 1 3,13 10 4,3 0 4,10 7 1,0 2 1,1 0 0 1 1,1 1 1 0 0,4,3
0,24,11 9 3 1,4,7 5 3 1,4 4 0 0,4 4 0 0,14 11 4 1,4 1 4 1,10 7 0 -3,0 2 0 2,0 2 0 0 2,2 0 2 0 0,4,2
0,24,11 8 5,3,5 3 1,6 5 4,1 0 4,13 9 5,3 4 0,10 6 2,0 1 2,1 0 0 1 1,1 1 1 0 0,4,3
0,24,11 8 4 1,4,7 5 3 1,4 3 1 0,4 3 1 0,14 10 5 1,4 0 0 1,10 6 1 -3,0 1 1 2,2 1 0 0 1,1 2 1 0 0,5,2
0,24,11 7 5 1,4,7 5 3 1,4 2 2 0,4 2 2 0,14 9 6 1,4 4 1 1,10 5 2 -3,0 0 2 2,0 2 0 0 2,2 0 2 0 0,4,2
0,24,11 7 4 2,4,7 5 3 1,4 2 1 1,4 2 1 1,14 9 5 2,4 4 0 2,10 5 1 -2,0 0 1 3,1 0 1 0 2,2 1 0 1 0,4,2
0,24,10 8 6,3,5 3 1,5 5 5,0 0 0,12 9 6,2 4 1,9 6 3,4 1 3,0 1 1 0 1,0 1 0 1 1,4,2
0,24,10 8 5 1,4,7 5 3 1,3 3 2 0,3 3 2 0,13 10 6 1,3 0 1 1,9 6 2 -3,4 1 2 2,1 2 0 1 0,0 1 2 0 1,5,1
0,24,10 8 4 2,4,7 5 3 1,3 3 1 1,3 3 1 1,13 10 5 2,3 0 0 2,9 6 1 -2,4 1 1 3,2 0 1 1 0,0 2 0 1 1,5,1
0,24,10 7 5 2,4,7 5 3 1,3 2 2 1,3 2 2 1,13 9 6 2,3 4 1 2,9 5 2 -2,4 0 2 3,0 1 1 1 1,1 0 1 1 1,4,1
0,24,9 7 5 3,4,7 5 3 1,2 2 2 2,2 2 2 2,12 9 6 3,2 4 1 3,8 5 2 -1,3 0 2 4,0 1 1 1 1,1 0 1 1 1,4,1
0,25,25,1,1,24,4,25,0,24,4,1 0 0 0 0,0 0 0 0 1,5,4
0,25,24 1,2,3 1,21 0,1 0,25 1,0 1,23 -1,3 4,1 1 0 0 0,0 0 0 1 1,5,3
0,25,23 2,2,3 1,20 1,0 1,24 2,4 2,22 0,2 0,0 0 1 0 1,1 0 1 0 0,4,4
0,25,22 3,2,3 1,19 2,4 2,23 3,3 3,21 1,1 1,0 0 0 2 0,0 2 0 0 0,4,4
0,25,21 4,2,3 1,18 3,3 3,22 4,2 4,20 2,0 2,0 0 1 0 1,1 0 1 0 0,4,4
