"candidate","alpha","N","parameter","first_nonzero_k","max_abs_coeff"
"H_alpha_N_minus_schur_gaussian_window",1,20,"6","1",531
"H_alpha_N_minus_plain_bilateral_limit",1,21,"plain","22",2
"H_alpha_N_minus_finite_jacobi_triple",1,21,"same_N","22",2
"H_alpha_N_minus_schur_gaussian_window",1,21,"0","1",189
"H_alpha_N_minus_schur_gaussian_window",1,21,"1","1",433
"H_alpha_N_minus_schur_gaussian_window",1,21,"2","1",215
"H_alpha_N_minus_schur_gaussian_window",1,21,"3","1",72
"H_alpha_N_minus_schur_gaussian_window",1,21,"4","1",161
"H_alpha_N_minus_schur_gaussian_window",1,21,"5","1",618
"H_alpha_N_minus_schur_gaussian_window",1,21,"6","1",141
"H_alpha_N_minus_plain_bilateral_limit",1,22,"plain","23",1
"H_alpha_N_minus_finite_jacobi_triple",1,22,"same_N","23",1
"H_alpha_N_minus_schur_gaussian_window",1,22,"0","1",869
"H_alpha_N_minus_schur_gaussian_window",1,22,"1","1",190
"H_alpha_N_minus_schur_gaussian_window",1,22,"2","1",263
"H_alpha_N_minus_schur_gaussian_window",1,22,"3","1",287
"H_alpha_N_minus_schur_gaussian_window",1,22,"4","1",539
"H_alpha_N_minus_schur_gaussian_window",1,22,"5","1",309
"H_alpha_N_minus_schur_gaussian_window",1,22,"6","1",1269
"H_alpha_N_minus_plain_bilateral_limit",1,23,"plain","24",1
"H_alpha_N_minus_finite_jacobi_triple",1,23,"same_N","24",1
"H_alpha_N_minus_schur_gaussian_window",1,23,"0","1",111
"H_alpha_N_minus_schur_gaussian_window",1,23,"1","1",796
"H_alpha_N_minus_schur_gaussian_window",1,23,"2","1",310
"H_alpha_N_minus_schur_gaussian_window",1,23,"3","1",225
"H_alpha_N_minus_schur_gaussian_window",1,23,"4","1",525
"H_alpha_N_minus_schur_gaussian_window",1,23,"5","1",1297
"H_alpha_N_minus_schur_gaussian_window",1,23,"6","1",633
"H_alpha_N_minus_plain_bilateral_limit",1,24,"plain","25",1
"H_alpha_N_minus_finite_jacobi_triple",1,24,"same_N","25",1
"H_alpha_N_minus_schur_gaussian_window",1,24,"0","1",1551
"H_alpha_N_minus_schur_gaussian_window",1,24,"1","1",62
"H_alpha_N_minus_schur_gaussian_window",1,24,"2","1",355
"H_alpha_N_minus_schur_gaussian_window",1,24,"3","1",603
"H_alpha_N_minus_schur_gaussian_window",1,24,"4","1",1021
"H_alpha_N_minus_schur_gaussian_window",1,24,"5","1",1012
"H_alpha_N_minus_schur_gaussian_window",1,24,"6","1",2275
"negative_shifted_alpha2_minus_alpha0_bilateral",2,0,"alpha2_vs_alpha0","2",1
"negative_alpha0_minus_wrong_z_q5",0,0,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,1,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,1,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,2,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,2,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,3,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,3,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,4,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,4,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,5,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,5,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,6,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,6,"wrong_z_q5","0",1
"negative_shifted_alpha2_minus_alpha0_bilateral",2,7,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,7,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,8,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,8,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,9,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,9,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,10,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,10,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,11,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,11,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,12,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,12,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,13,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,13,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,14,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,14,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,15,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,15,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,16,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,16,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,17,"alpha2_vs_alpha0","1",3
"negative_alpha0_minus_wrong_z_q5",0,17,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,18,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,18,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,19,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,19,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,20,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,20,"wrong_z_q5","0",3
"negative_shifted_alpha2_minus_alpha0_bilateral",2,21,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,21,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,22,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,22,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,23,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,23,"wrong_z_q5","0",2
"negative_shifted_alpha2_minus_alpha0_bilateral",2,24,"alpha2_vs_alpha0","1",2
"negative_alpha0_minus_wrong_z_q5",0,24,"wrong_z_q5","0",2
